fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap,IL/Ins
zeppelin-0.7.0(0.6.2).csv,-4.0,-200.0,-3.0,0.0,0.0,0.07482993197278912
"zeppelin-0.7.0(0.6.2,0.6.1).csv",-200.0,1.0,0.0,0.0,0.5,0.07325383304940375
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0).csv",-2.0,-200.0,2.0,0.0,0.5,0.0730593607305936
zeppelin-0.6.1(0.6.0).csv,-1.0,1.0,-200.0,0.0,0.5,0.0726643598615917
"zeppelin-0.6.2(0.6.1,0.6.0).csv",-200.0,-200.0,2.0,0.0,0.2,0.07216494845360824
zeppelin-0.6.2(0.6.1).csv,-200.0,-8.0,-8.0,0.0,0.0,0.07167235494880546
flume-1.5.2(1.5.1).csv,-11.0,-200.0,-4.0,0.0,0.0,0.07142857142857142
flume-1.5.1(1.5.0).csv,-2.0,-8.0,-200.0,0.0,0.2,0.07142857142857142
"flume-1.6.0(1.5.2,1.5.1).csv",-200.0,-200.0,2.0,0.0,0.2,0.07142857142857142
"flume-1.6.0(1.5.2,1.5.1,1.5.0).csv",-14.0,-1.0,-5.0,0.0,0.2,0.07142857142857142
flume-1.6.0(1.5.2).csv,-6.0,-1.0,-8.0,0.0,0.2,0.07142857142857142
"flume-1.5.2(1.5.1,1.5.0).csv",-200.0,-9.0,-2.0,0.0,0.0,0.07142857142857142
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0).csv",-7.0,-200.0,-10.0,0.0,0.0,0.0686427457098284
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0,0.5.6).csv",0.0,0.0,-7.0,1.0,0.5,0.06860902255639098
"flume-1.5.2(1.5.1,1.5.0,1.4.0).csv",-8.0,-2.0,-9.0,0.0,0.0,0.06769016050244243
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0,0.5.6,0.5.5).csv",-5.0,-3.0,-200.0,0.0,0.0,0.06655844155844155
"zeppelin-0.6.2(0.6.1,0.6.0,0.5.6).csv",0.0,-8.0,1.0,1.0,0.5,0.06623376623376623
"flume-1.5.1(1.5.0,1.4.0).csv",-9.0,-200.0,-5.0,0.0,0.0,0.06574761399787911
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0,1.3.1).csv",-5.0,-5.0,-12.0,0.0,0.0,0.06538796861377506
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0,0.5.6,0.5.5,0.5.0).csv",-200.0,1.0,-4.0,0.0,0.2,0.06465833945628215
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1,0.6.0).csv",-200.0,1.0,-2.0,0.0,0.2,0.06459143968871596
"zeppelin-0.6.2(0.6.1,0.6.0,0.5.6,0.5.5).csv",-200.0,1.0,-200.0,0.0,0.2,0.06396588486140725
"flume-1.5.2(1.5.1,1.5.0,1.4.0,1.3.1).csv",-2.0,-12.0,-8.0,0.0,0.2,0.06374722838137473
"zeppelin-0.6.1(0.6.0,0.5.6).csv",-5.0,0.0,-200.0,0.0,0.2,0.06289308176100629
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0).csv",-14.0,-6.0,-200.0,0.0,0.0,0.06268768768768769
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1,0.6.0,0.5.6).csv",-4.0,-10.0,-7.0,0.0,0.0,0.062457569585879155
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1).csv",-200.0,-1.0,-1.0,0.0,0.2,0.06224899598393574
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1,0.6.0).csv",-1.0,-6.0,-200.0,0.0,0.2,0.061946902654867256
"zeppelin-0.6.2(0.6.1,0.6.0,0.5.6,0.5.5,0.5.0).csv",-10.0,-4.0,-1.0,0.0,0.0,0.061855670103092786
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1,0.6.0,0.5.6,0.5.5).csv",-11.0,0.0,-200.0,0.0,0.2,0.061547836684948204
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0,0.6.2,0.6.1,0.6.0).csv",-14.0,-5.0,-7.0,0.0,0.0,0.06125356125356125
"flume-1.5.1(1.5.0,1.4.0,1.3.1).csv",0.0,-200.0,0.0,1.0,0.5,0.060882800608828
"flume-1.5.2(1.5.1,1.5.0,1.4.0,1.3.1,1.3.0).csv",-6.0,1.0,-1.0,0.0,0.2,0.06071757129714812
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1,0.6.0,0.5.6).csv",-200.0,-2.0,-9.0,0.0,0.0,0.0605416887944769
"zeppelin-0.6.1(0.6.0,0.5.6,0.5.5).csv",-200.0,-1.0,-9.0,0.0,0.2,0.06046511627906977
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1,0.6.0,0.5.6,0.5.5,0.5.0).csv",-9.0,-10.0,0.0,0.0,0.2,0.060451977401129946
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0,0.6.2,0.6.1,0.6.0,0.5.6).csv",0.0,-3.0,-7.0,1.0,0.2,0.06015693112467306
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1,0.6.0,0.5.6,0.5.5).csv",-1.0,-8.0,-10.0,0.0,0.2,0.05997074597757192
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1).csv",0.0,-4.0,0.0,1.0,0.5,0.059743954480796585
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0,0.6.2,0.6.1,0.6.0,0.5.6,0.5.5).csv",-1.0,-200.0,-4.0,0.0,0.2,0.05970755483346873
