"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.03","0.34","0.6","1.94","1.1","1.11","161.11","0.29","0.66"
"ECLIPSE-2007","0.73","0.28","0.3","0.86","1.22","0.66","250.74","0.18","0.74"
"ECLIPSE-2007","[0.2,1.49]","[0.04,0.52]","[0.32,0.79]","[1.13,2.51]","[0.13,2.48]","[0.38,1.54]","[0,311.11]","[0.18,0.49]","[0,1.15]"
"Metrics-Repo-2010","6.33","2.86","7.16","11.5","10.86","4","16.15","7.02","13.79"
"Metrics-Repo-2010","8.78","3.19","11.14","14.61","13.2","5.28","30.43","8.39","20.4"
"Metrics-Repo-2010","[4.5,8.75]","[2.13,3.75]","[4.69,10.82]","[7.98,15.36]","[8.02,14.92]","[2.99,5.94]","[9.59,24.99]","[5.19,9.5]","[9.84,22.27]"
"JIRA-HA-2019","8.18","0.9","1.05","9.24","8.64","6.38","10.36","2.07","6.89"
"JIRA-HA-2019","18.27","0.89","1.24","13.22","18.21","10.3","25.86","2.29","9.71"
"JIRA-HA-2019","[4.29,17.73]","[0.67,1.24]","[0.74,1.49]","[6.06,15.39]","[4.54,18.02]","[4.06,11]","[3.85,20.87]","[1.51,2.96]","[4.66,11.02]"
"JIRA-RA-2019","6.31","0.54","1.78","9.61","7.13","3.15","19.25","1.28","4.96"
"JIRA-RA-2019","11.08","0.7","2.57","12.04","12.95","3.15","39.59","1.18","4.91"
"JIRA-RA-2019","[4.04,11.17]","[0.4,0.95]","[1.28,2.9]","[6.9,14.44]","[4.62,14.51]","[2.4,4.31]","[9.45,34.01]","[0.99,1.72]","[3.68,6.63]"
"MA-SZZ-2020","0.71","0.14","0.29","1.45","0.91","0.66","3.86","1.03","5.14"
"MA-SZZ-2020","1.18","0.3","0.64","2.58","1.62","1.44","18.03","1.58","10.85"
"MA-SZZ-2020","[0.56,0.88]","[0.1,0.19]","[0.22,0.4]","[1.14,1.84]","[0.73,1.2]","[0.51,0.92]","[1.74,6.78]","[0.85,1.29]","[4.01,7.16]"
"IND-JLMIV+R-2020","2.97","0.39","0.49","4.37","3.22","3.36","11.93","0.83","3.79"
"IND-JLMIV+R-2020","5.8","0.74","1.2","8.08","6.22","5.82","35.13","1.06","6.09"
"IND-JLMIV+R-2020","[2.15,4.49]","[0.27,0.56]","[0.32,0.81]","[3.14,6.48]","[2.31,4.76]","[2.41,4.73]","[6.64,21.2]","[0.65,1.06]","[2.82,5.11]"
