"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","9.07","6.82","100.2","115.93","7.52","34.94","13.31","52.94"
"Metrics-Repo-2010","11.62","11.75","563.25","623","7.77","84.19","12.95","116.42"
"Metrics-Repo-2010","6.71","4.88","20.92","28.39","5.74","20.2","10.51","31.09"
"Metrics-Repo-2010","13.84","12.71","483.2","539.87","9.96","69.9","17.22","98.51"
"JIRA-HA-2019","12.41","3.08","9.11","28.11","17.77","49.13","5.65","20.58"
"JIRA-HA-2019","15.19","2.91","19.57","62.67","23.64","82.79","4.41","21.58"
"JIRA-HA-2019","8.96","2.39","5.25","16.36","12.65","28.94","4.38","14.99"
"JIRA-HA-2019","18.84","4.29","19.56","62.32","27.91","82.66","7.1","28.27"
"JIRA-RA-2019","8.07","4.78","100.93","119.1","11.52","68.71","5.14","15.13"
"JIRA-RA-2019","5.94","13.57","619.25","675.17","9.85","113.94","5.38","25.07"
"JIRA-RA-2019","6.36","2.42","4.64","13.63","9.14","41.85","3.87","9.5"
"JIRA-RA-2019","10.03","13.38","487.64","540.93","14.97","115.98","7.53","29.8"
"MA-SZZ-2020","7.12","1.52","1.88","11.19","7.27","20.03","3.47","12.39"
"MA-SZZ-2020","9.7","1.99","2.4","16.09","9.88","58.38","3.8","14.62"
"MA-SZZ-2020","5.99","1.28","1.6","9.33","6.06","13.64","2.98","10.68"
"MA-SZZ-2020","8.74","1.83","2.26","13.8","8.95","31.07","4.08","14.73"
