"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","10.66","5.96","76.17","111.84","9.04","62.66","10.07","20.49"
"Metrics-Repo-2010","9.32","4.61","258.07","386.65","9.23","236.04","12.03","25.05"
"Metrics-Repo-2010","7.96","4.69","31.68","44.71","6.83","21.6","7.27","13.66"
"Metrics-Repo-2010","13.96","7.59","235.73","350.5","12.81","211.16","15.73","29"
"JIRA-HA-2019","5.1","1.03","2.73","9.25","5.39","28.39","2.55","9.92"
"JIRA-HA-2019","4.88","0.9","3.09","8.86","4.8","47.84","2.24","13.72"
"JIRA-HA-2019","3.58","0.77","1.88","6.61","4.05","15.47","1.94","6.54"
"JIRA-HA-2019","6.87","1.38","4.11","12.86","7.36","49.03","3.49","16.58"
"JIRA-RA-2019","3.73","0.81","1.76","6.34","4.21","10.94","2.62","9.19"
"JIRA-RA-2019","2.8","0.9","1.68","5.08","3.73","27.63","3.74","6.65"
"JIRA-RA-2019","2.9","0.58","1.28","4.91","3.11","3.12","1.6","7.25"
"JIRA-RA-2019","4.94","1.26","2.46","8.5","5.85","21.88","4.11","11.93"
"MA-SZZ-2020","16.6","1.96","14.21","22.9","7.39","41.87","4.39","17.49"
"MA-SZZ-2020","13.38","1.66","20.23","18.69","6.38","49.29","2.87","20.87"
"MA-SZZ-2020","13.28","1.57","9.17","17.98","5.86","31.09","3.66","12.47"
"MA-SZZ-2020","20.95","2.5","21.03","29.01","9.68","62.44","5.18","24.7"
