Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.0,0.45,0.0,0.55
JIRA-HA-2019,Ranked1,0.125,0.5625,0.09375,0.09375,0.125
JIRA-RA-2019,Ranked1,0.09375,0.09375,0.5625,0.125,0.125
MA-SZZ-2020,Ranked1,0.0,0.20833333333333334,0.7916666666666666,0.0,0.0
Metrics-Repo-2010,Ranked2,0.0,0.525,0.075,0.225,0.175
JIRA-HA-2019,Ranked2,0.3125,0.3125,0.28125,0.09375,0.0
JIRA-RA-2019,Ranked2,0.21875,0.3125,0.09375,0.25,0.125
MA-SZZ-2020,Ranked2,0.4166666666666667,0.20833333333333334,0.0,0.0,0.375
Metrics-Repo-2010,Ranked3,0.75,0.075,0.0,0.175,0.0
JIRA-HA-2019,Ranked3,0.3125,0.0,0.3125,0.15625,0.21875
JIRA-RA-2019,Ranked3,0.375,0.1875,0.125,0.3125,0.0
MA-SZZ-2020,Ranked3,0.0,0.0,0.0,0.0,1.0
