Dataset,F1,AUC,MAP,MRR,ER,RI,Popt,ACC
Metrics-Repo-2010,24/40	,22/40	,28/40	,16/40	,23/40	,29/40	,30/40	,29/40	
JIRA-HA-2019,23/32	,8/32	,20/32	,13/32	,10/32	,22/32	,27/32	,27/32	
JIRA-RA-2019,11/32	,1/32	,4/32	,11/32	,3/32	,8/32	,18/32	,24/32	
MA-SZZ-2020,38/48	,21/48	,38/48	,29/48	,30/48	,34/48	,35/48	,28/48	
