fileName,accuracy,precision,recall,F1,AUC,ER,RI,MCC,AP,RR,Popt,ACC
poi-2.5(2.0).csv,0.7285714285714291,0.825,0.515625,0.634615384615385,0.875,0.4458874458874461,0.8046875,0.46702533600832,0.845536894359826,1.0,-1.23822969486583,0.0784313725490196
"poi-3.0(2.5,2.0).csv",0.665775401069519,0.781420765027322,0.62719298245614,0.695863746958638,0.7469057918769529,0.21984966904753,0.28180423736938,0.344704835708231,0.760060492520997,1.0,-0.30433760849802194,0.0348837209302326
poi-3.0(2.5).csv,0.6871657754010689,0.8171428571428571,0.62719298245614,0.7096774193548392,0.7786289353520791,0.253954601548184,0.34040100250626604,0.398909438520113,0.82847621202792,1.0,-0.44077912342229,0.0514950166112957
xalan-2.6(2.5).csv,0.807106598984772,0.8695652173913041,0.857142857142857,0.863309352517986,0.883724937343358,0.182741116751269,0.22360248447205,0.535940715995091,0.946258832413846,1.0,0.0993847450959741,0.124629080118694
"xalan-2.7(2.6,2.5).csv",0.637606837606838,1.0,0.6363636363636359,0.7777777777777779,0.961835334476844,0.00341880341880342,0.00343053173241852,0.0771188933033472,0.9998520562959408,1.0,0.35392926086990706,0.104452054794521
xalan-2.7(2.6).csv,0.7264957264957259,1.0,0.7255574614065179,0.840954274353877,0.927101200686106,0.00341880341880342,0.00343053173241852,0.0946440675559607,0.9997289891388672,1.0,0.118545135404783,0.0530821917808219
"poi-3.0(2.5,2.0,1.5).csv",0.8021390374331551,0.8130081300813009,0.8771929824561401,0.8438818565400841,0.859213530401346,0.250160427807487,0.333618599343888,0.577968033620862,0.8776533741939491,1.0,0.031671904077275,0.10797342192691
"xalan-2.7(2.6,2.5,2.4).csv",0.5350427350427349,1.0,0.5334476843910809,0.695749440715884,0.8100343053173241,0.00341880341880342,0.00343053173241852,0.062400149985260986,0.999253960673636,1.0,0.279179708214196,0.0873287671232877
"xalan-2.6(2.5,2.4).csv",0.789340101522843,0.930131004366812,0.7607142857142858,0.836935166994106,0.876535087719298,0.23595719835085,0.30882719900187106,0.570187774858735,0.93841887641821,1.0,0.0342553842095163,0.109792284866469
"poi-2.5(2.0,1.5).csv",0.792857142857143,0.796610169491525,0.734375,0.7642276422764229,0.8781866776315791,0.42613981762917896,0.742584745762712,0.581584349241304,0.8141508100224191,1.0,-0.843576558902206,0.127450980392157
xalan-2.5(2.4).csv,0.570063694267516,0.75,0.287425149700599,0.415584415584416,0.737178703816856,0.2908704883227181,0.410179640718563,0.22120434391363894,0.7176422609024801,0.5,-0.0238648205824006,0.11018711018711
xerces-1.4(1.3).csv,0.715328467153285,1.0,0.3035714285714289,0.465753424657534,0.93805114638448,0.5912408759124089,1.44642857142857,0.452670646591663,0.91064042011378,1.0,7.05032488461439,0.0725388601036269
log4j-1.2(1.1).csv,0.452054794520548,0.967741935483871,0.4347826086956521,0.6,0.659873188405797,0.0232876712328767,0.0238429172510519,0.0850766034301569,0.9697606461341608,1.0,0.1514586537464,0.105633802816901
"xerces-1.4(1.3,1.2).csv",0.6642335766423361,0.916666666666667,0.196428571428571,0.323529411764706,0.8574735449735451,0.55408095554081,1.24255952380952,0.32011374558381395,0.781865652209446,1.0,6.29044942371657,0.0569948186528497
"log4j-1.2(1.1,1.0).csv",0.513698630136986,0.9718309859154928,0.5,0.660287081339713,0.6924818840579711,0.0273972602739726,0.028169014084507005,0.113832097753108,0.973703161667835,1.0,0.0964405387651303,0.0633802816901408
lucene-2.4(2.2).csv,0.694545454545455,0.693121693121693,0.8343949044585991,0.7572254335260121,0.739096405052359,0.176321998612075,0.21406665992653304,0.366049258842073,0.7879847908001791,1.0,0.17601084531809502,0.111111111111111
