"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","126.36","45.85","62.58","91.85","34.24","59.55","80.22","86.86"
"Metrics-Repo-2010","415.91","117.15","254.13","380.8","142.75","107.81","198.19","154.18"
"Metrics-Repo-2010","33.11","23.17","20.13","28.17","10.17","32.57","39.2","51.52"
"Metrics-Repo-2010","358.42","114.26","225.14","336.27","124.95","100.25","183.51","151.99"
"JIRA-HA-2019","26.12","3.6","3.4","11.9","4.8","117.63","69.58","35.01"
"JIRA-HA-2019","85.82","3.34","4.17","13.23","3.82","355.98","184.51","50.48"
"JIRA-HA-2019","9.82","2.69","2.3","8.41","3.62","35.95","27.48","22.22"
"JIRA-HA-2019","100.18","5.2","5.26","18.04","6.24","360.64","179.4","61.5"
"JIRA-RA-2019","5.48","1.89","1.73","5.37","4.39","25.24","362.32","97.93"
"JIRA-RA-2019","4.13","1.64","1.83","4.29","4.27","90.39","1934.3","270.95"
"JIRA-RA-2019","4.29","1.4","1.25","4.12","3.18","7.64","15.52","41.55"
"JIRA-RA-2019","7.15","2.52","2.54","7.21","6.11","88.99","2072.55","279.36"
"MA-SZZ-2020","47.47","11.87","25.73","24.38","8.33","941.18","47.16","55.65"
"MA-SZZ-2020","75.31","27.92","60.44","25.6","5.09","5893.39","68.36","107.08"
"MA-SZZ-2020","32.99","6.37","12.69","18.55","7.08","77.05","33.39","33.27"
"MA-SZZ-2020","90.46","24.52","49.89","34","9.82","5191.39","74.76","97.23"
