"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","3.75","0.47","0.47","1.34","0.69","77.78","1.22","3.98"
"ECLIPSE-2007","1.9","0.48","0.75","2.13","0.31","134.72","0.71","3.72"
"ECLIPSE-2007","2.04","0.08","0.03","0.1","0.46","0","0.46","0"
"ECLIPSE-2007","5","0.77","0.91","2.57","0.88","155.56","1.69","6.44"
"Metrics-Repo-2010","9.95","7.02","18.59","25.72","9.88","19.79","11.61","34.02"
"Metrics-Repo-2010","10.7","8.92","23.12","23.96","11.46","34.84","12.37","62.05"
"Metrics-Repo-2010","7.69","5.15","13.44","20.13","7.35","12.23","8.66","21.77"
"Metrics-Repo-2010","13.2","10.04","25.66","32.69","13.4","30.86","15.28","58.29"
"JIRA-HA-2019","7.28","1.64","4.01","15.82","14.32","56.15","3.92","17.13"
"JIRA-HA-2019","5.66","1.54","4.09","12.8","18.31","135.45","3.53","18.66"
"JIRA-HA-2019","5.76","1.27","3.03","12.53","9.75","27.78","2.99","12.67"
"JIRA-HA-2019","9.24","2.22","5.61","20.31","21.25","129.33","5.3","24.68"
"JIRA-RA-2019","7.82","2.14","4.06","14.85","10.55","70.31","3.77","13.72"
"JIRA-RA-2019","8.04","3.19","4.63","14.72","12.55","178.45","5.86","13.77"
"JIRA-RA-2019","5.71","1.45","2.85","11.23","7.83","36.9","2.63","10.26"
"JIRA-RA-2019","10.47","3.6","5.79","20.31","15.32","178.07","6.44","18.4"
"MA-SZZ-2020","5.58","0.87","1.45","9.38","4.31","6.2","2.61","10.24"
"MA-SZZ-2020","7.19","2.14","1.89","11.75","7.16","21.91","3.43","14.24"
"MA-SZZ-2020","4.62","0.68","1.22","7.82","3.52","3.71","2.27","8.6"
"MA-SZZ-2020","6.77","1.38","1.76","11.25","5.75","9.96","3.23","12.73"
