"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","8.65","4.72","62.58","91.85","9.98","59.21","14.14","24.89"
"Metrics-Repo-2010","13.59","3.99","254.13","380.8","13.46","236.1","16.85","25.37"
"Metrics-Repo-2010","6.11","3.65","20.13","28.17","6.44","17.96","10.01","18.72"
"Metrics-Repo-2010","17.43","6.14","225.14","336.27","14.95","208.05","20.96","35.12"
"JIRA-HA-2019","5.82","1.29","3.4","11.9","4.64","30.73","2.94","9.02"
"JIRA-HA-2019","4.71","1.06","4.17","13.23","3.71","65.6","2.53","8.21"
"JIRA-HA-2019","4.44","0.99","2.3","8.41","3.53","15.1","2.31","6.46"
"JIRA-HA-2019","7.83","1.76","5.26","18.04","6.1","63.64","4.06","12.41"
"JIRA-RA-2019","3.06","0.74","1.73","5.37","4.28","8.85","2.31","7.85"
"JIRA-RA-2019","2.29","0.62","1.83","4.29","4.25","22.79","3.29","6.38"
"JIRA-RA-2019","2.39","0.56","1.25","4.12","3.08","3.12","1.38","5.81"
"JIRA-RA-2019","4.03","0.98","2.54","7.21","6.01","20.16","3.69","10.07"
"MA-SZZ-2020","14.83","1.61","25.73","24.38","7.66","38","4.49","24.15"
"MA-SZZ-2020","12.46","1.42","60.44","25.6","4.9","45.83","3.57","37.91"
"MA-SZZ-2020","11.94","1.24","12.69","18.55","6.48","27.73","3.62","15.87"
"MA-SZZ-2020","19.34","2.08","49.89","34","9.07","55.17","5.66","39.33"
