"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","10.7","1.32","0.47","1.34","0.73","45.75","7.2","11.31"
"ECLIPSE-2007","7.17","1.31","0.75","2.13","0.34","79.24","4.19","12.58"
"ECLIPSE-2007","4.26","0.25","0.03","0.1","0.48","0","3.51","0"
"ECLIPSE-2007","15.42","2.16","0.91","2.57","0.95","91.5","9.95","19.59"
"Metrics-Repo-2010","53.41","21.95","18.59","25.72","13.92","52.97","241.02","125.17"
"Metrics-Repo-2010","94.16","33.41","23.12","23.96","13.33","119.85","1253.44","323.19"
"Metrics-Repo-2010","37.18","15.73","13.44","20.13","10.7","30.66","66.84","73.57"
"Metrics-Repo-2010","94.18","35.39","25.66","32.69","17.94","97.25","778.94","391.92"
"JIRA-HA-2019","11.35","4.02","4.01","15.82","14.51","267.14","152.02","41.06"
"JIRA-HA-2019","8.79","3.9","4.09","12.8","18.37","999.95","700.17","39.73"
"JIRA-HA-2019","9.02","3.1","3.03","12.53","9.95","39.73","35.12","30.55"
"JIRA-HA-2019","14.39","5.49","5.61","20.31","21.47","764.65","610.45","55.7"
"JIRA-RA-2019","13.01","5.36","4.06","14.85","10.81","117.47","249.06","212.62"
"JIRA-RA-2019","14.04","7.88","4.63","14.72","12.79","228.98","1346.24","594.15"
"JIRA-RA-2019","9.38","3.67","2.85","11.23","8.02","66.08","31.62","89.83"
"JIRA-RA-2019","18.26","8.86","5.79","20.31","15.59","226.75","1092.31","489.46"
"MA-SZZ-2020","7.65","1.84","1.45","9.38","4.42","145.97","7.04","26.69"
"MA-SZZ-2020","9.49","4.47","1.89","11.75","7.28","1788.69","9.93","60.02"
"MA-SZZ-2020","6.45","1.43","1.22","7.82","3.6","16.73","6","20.22"
"MA-SZZ-2020","9.26","2.88","1.76","11.25","5.91","758.3","8.76","38.19"
