"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.44","0.66","1.97","4.53","4.19","3.75","44.44","0.26","4.03"
"ECLIPSE-2007","1","0.77","1.29","2.83","1.92","0.87","50.92","0.21","2.07"
"ECLIPSE-2007","[1.42,3.11]","[0.18,1.56]","[0.49,2.74]","[1.27,6.22]","[2.15,5.05]","[3.16,4.75]","[0,77.78]","[0.02,0.4]","[2.63,6.4]"
"Metrics-Repo-2010","9.35","4.37","19.48","27.08","30.2","7.1","53.83","16.78","22.19"
"Metrics-Repo-2010","9.75","5.1","26.66","34.11","47.13","9.03","209.6","20.47","25.16"
"Metrics-Repo-2010","[7.2,12.6]","[3.32,6.18]","[14.4,29.06]","[19.8,38.26]","[21.45,49.8]","[5.33,10.35]","[20.84,175.54]","[12.8,23.72]","[16.81,30.76]"
"JIRA-HA-2019","8.51","2.84","6.89","16.63","10.34","12.68","90.26","4.12","13.91"
"JIRA-HA-2019","7.63","5.28","7.41","15.27","9.96","13.42","156.41","3.99","11.91"
"JIRA-HA-2019","[6.4,11.24]","[1.82,6.96]","[4.96,9.66]","[12.44,21.98]","[7.91,14.35]","[9.4,18.67]","[51.02,150.46]","[3.17,5.68]","[10.42,17.68]"
"JIRA-RA-2019","12.17","3.66","10.97","42.74","13.26","14.13","60.1","4.72","13.37"
"JIRA-RA-2019","19.72","6.2","22.11","134.78","17.9","24.25","105.32","4.78","15.27"
"JIRA-RA-2019","[8.13,20.92]","[2.36,6.3]","[6.77,22.28]","[18.81,124.83]","[9.61,20.76]","[9.25,26.69]","[37.37,107.32]","[3.61,6.72]","[9.5,19.64]"
"MA-SZZ-2020","15.06","4.7","39.7","262.39","99.14","19.79","153.66","5.48","26.36"
"MA-SZZ-2020","88.26","13.87","485.42","3465.61","1252.53","110.14","1683.46","12.27","90.89"
"MA-SZZ-2020","[7.67,43.19]","[3.3,7.23]","[5.28,175]","[13.99,1237.13]","[10.44,450.8]","[10.85,59.96]","[31.35,618.75]","[4.26,8.28]","[18.85,51.27]"
"IND-JLMIV+R-2020","18.32","4.29","21.46","69.89","28.63","21.5","53.45","7.53","42.89"
"IND-JLMIV+R-2020","86.73","12.83","113.17","329.13","109.29","66.42","134.45","9.84","164.73"
"IND-JLMIV+R-2020","[8.42,53.07]","[2.34,7.37]","[8.04,68.61]","[28.57,204.86]","[12.86,57.17]","[13.13,43.24]","[36.27,98.07]","[6.09,9.89]","[24.21,131.17]"
