"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","34.42","5.74","1.61","5.64","3.73","4.9","1.3","29.63","9.5"
"ECLIPSE-2007","24.76","1.29","0.28","0.11","0.16","0.83","0.1","9.61","3.81"
"ECLIPSE-2007","[11.53,50.81]","[4.26,6.53]","[1.42,1.78]","[5.55,5.76]","[3.61,3.83]","[3.95,5.41]","[1.19,1.3]","[19.12,35.91]","[7.18,11.74]"
"Metrics-Repo-2010","75.98","20.67","41.87","50.79","28.85","41.24","22.56","70.73","84.1"
"Metrics-Repo-2010","126.04","21.9","68.32","70.7","34.69","53.92","31.34","155.28","167.99"
"Metrics-Repo-2010","[51.05,124.84]","[16.15,27.35]","[28.97,67.28]","[36.21,74.47]","[21.17,41.4]","[30.28,59.11]","[15.5,32.58]","[41.67,129.69]","[51.76,147.75]"
"JIRA-HA-2019","41.46","12.09","2.98","17.53","12.41","15.19","21.44","81.78","47.88"
"JIRA-HA-2019","68.67","8.94","2.35","15.48","9.61","11.32","51.47","196.75","72.15"
"JIRA-HA-2019","[26.99,80.68]","[9.66,15.29]","[2.29,3.79]","[13.26,23.06]","[9.75,15.53]","[11.9,19.22]","[9.14,43.24]","[40.58,223.04]","[31.43,79.89]"
"JIRA-RA-2019","23.45","9.62","3.51","15.49","10.16","12.5","9.47","35.2","47.01"
"JIRA-RA-2019","27.34","8.38","5.34","14.85","8.96","9.79","20.82","31.58","60.58"
"JIRA-RA-2019","[16.5,34.13]","[7.42,12.54]","[2.4,6.03]","[11.35,20.26]","[7.61,13.14]","[9.74,15.75]","[5.01,18.56]","[27.04,46.86]","[34.92,80.53]"
"MA-SZZ-2020","6.55","3.69","2.13","5.9","3.72","4.42","7.81","172.76","18.73"
"MA-SZZ-2020","7.34","4.68","2.73","6.35","4.39","5.35","38.72","1023.55","42.82"
"MA-SZZ-2020","[5.5,7.79]","[3.04,4.42]","[1.7,2.52]","[4.97,6.85]","[3.08,4.44]","[3.6,5.4]","[3.6,17.23]","[78.86,579.6]","[13.77,28.77]"
"IND-JLMIV+R-2020","24.51","6.38","2.27","15.5","8.2","8.97","66.7","87","42.08"
"IND-JLMIV+R-2020","54.44","9.53","2.17","11","6.28","11.67","540.26","279.9","35.62"
"IND-JLMIV+R-2020","[18.13,48.97]","[4.96,8.86]","[1.91,2.77]","[13.44,17.74]","[7,9.36]","[7.22,12]","[7.75,344.32]","[53.18,198.03]","[35.68,50.4]"
