"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","3.52","1.99","1.61","5.64","3.73","1.35","0","3.63","5.1"
"ECLIPSE-2007","0.89","0.51","0.28","0.11","0.16","0.78","0","0.78","0.6"
"ECLIPSE-2007","[2.51,4.09]","[1.44,2.33]","[1.42,1.78]","[5.55,5.71]","[3.61,3.83]","[0.57,1.87]","[0,0]","[2.83,4.15]","[4.52,5.5]"
"Metrics-Repo-2010","15.3","6.51","41.87","50.79","28.85","7.55","4.67","9.08","15.59"
"Metrics-Repo-2010","17.9","8.04","68.32","70.7","34.69","11.71","16.3","10.44","17.15"
"Metrics-Repo-2010","[11.5,20.86]","[4.84,9.23]","[27.8,63.87]","[35.66,71.72]","[21.24,40.07]","[5.47,11.95]","[1.63,11.44]","[7.14,13.09]","[12.06,21.14]"
"JIRA-HA-2019","13.04","4.68","2.98","17.53","12.41","8.94","4.36","7.59","16.44"
"JIRA-HA-2019","12.43","3.99","2.35","15.48","9.61","8.2","13.73","6.57","19.42"
"JIRA-HA-2019","[9.41,17.42]","[3.64,6.12]","[2.27,3.83]","[13.24,22.7]","[9.61,15.52]","[6.58,11.89]","[1.28,9.22]","[5.71,9.82]","[12.45,25.45]"
"JIRA-RA-2019","9.52","3.8","3.51","15.49","10.16","7.48","4.62","6.29","12.54"
"JIRA-RA-2019","10.2","3.25","5.34","14.85","8.96","6.16","14.65","5.81","10.85"
"JIRA-RA-2019","[7.04,13.23]","[2.85,4.86]","[2.44,6.19]","[11.46,19.94]","[7.48,12.88]","[5.84,9.53]","[1.25,11.1]","[4.62,8.32]","[9.27,16.15]"
"MA-SZZ-2020","2.21","1.36","2.13","5.9","3.72","2.65","9.43","2.22","3.92"
"MA-SZZ-2020","2.63","1.54","2.73","6.35","4.39","3.48","68.24","2.96","4.68"
"MA-SZZ-2020","[1.78,2.61]","[1.1,1.61]","[1.74,2.61]","[4.99,6.88]","[2.97,4.38]","[2.16,3.27]","[0,22.01]","[1.79,2.69]","[3.32,4.69]"
"IND-JLMIV+R-2020","14.38","2.49","2.69","20.86","14.39","11.04","3.5","5.9","15.91"
"IND-JLMIV+R-2020","13.75","3.85","2.19","12.53","15.48","10.37","18.68","4.41","14.61"
"IND-JLMIV+R-2020","[12.9,16.12]","[2.18,3.19]","[2.44,2.95]","[19.42,22.21]","[12.79,16.49]","[9.98,12.42]","[1.87,6.95]","[5.4,6.48]","[14.41,17.77]"
