"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","4.2","1.95","1.53","5.85","4","1.49","0","3.92","4.48"
"ECLIPSE-2007","0.19","0.68","0.4","0.72","0.9","0.55","0","0.6","0.07"
"ECLIPSE-2007","[4.06,4.32]","[1.21,2.39]","[1.22,1.78]","[5.35,6.29]","[3.4,5.04]","[0.9,1.86]","[0,0]","[3.32,4.32]","[4.41,4.53]"
"Metrics-Repo-2010","15.87","5.88","63.75","76.7","50.81","7.39","11.55","14.56","14.33"
"Metrics-Repo-2010","19.02","5.74","135.68","142.57","125.9","11.05","55.76","21.47","13.64"
"Metrics-Repo-2010","[11.51,21.9]","[4.55,7.48]","[38.39,125.7]","[48.44,135.88]","[28.91,106.55]","[5.22,11.71]","[2.78,51.9]","[10.27,22.09]","[11.1,18.03]"
"JIRA-HA-2019","13.88","5.27","2.47","17.73","11.69","9.69","0","9.48","15.37"
"JIRA-HA-2019","13.06","3.93","1.74","14.68","8.86","8.69","0","7.83","14.63"
"JIRA-HA-2019","[10.6,18.97]","[4.14,6.66]","[1.99,3.06]","[13.92,23.02]","[9.34,15.14]","[7.4,12.69]","[0,0]","[7.28,12.14]","[11.19,20.15]"
"JIRA-RA-2019","10.66","3.69","2.4","14.15","9.31","6.91","2.5","6.62","11.47"
"JIRA-RA-2019","11.98","3.29","2.43","13.23","8.75","6","11.04","6.15","9.46"
"JIRA-RA-2019","[7.31,14.94]","[2.86,4.89]","[1.69,3.24]","[10.41,18.65]","[6.8,12.08]","[5.22,8.84]","[0,6.25]","[4.96,8.8]","[8.72,14.82]"
"MA-SZZ-2020","2.66","1.34","2.56","6.64","4.37","2.4","0","2.62","6.48"
"MA-SZZ-2020","2.5","1.59","3.13","6.71","4.6","2.36","0","3.33","7.93"
"MA-SZZ-2020","[2.29,3.12]","[1.09,1.61]","[2.09,3.1]","[5.56,7.74]","[3.68,5.11]","[2.08,2.82]","[0,0]","[2.11,3.19]","[5.45,8.01]"
"IND-JLMIV+R-2020","7.67","2.33","2.15","68.89","111.33","6.86","17.69","5.68","11.93"
"IND-JLMIV+R-2020","5.86","2.33","3","332.3","608.97","9.89","66.9","4.28","9.25"
"IND-JLMIV+R-2020","[6.49,9.07]","[1.96,2.84]","[1.73,3.16]","[26.46,167.72]","[31.71,314.36]","[5.18,9.27]","[9.03,34.09]","[4.82,6.53]","[10.21,13.91]"
