"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","3.87","0.71","0.99","2.82","4.85","3","908.33","2.14","2.83"
"ECLIPSE-2007","2.27","0.41","0.86","2.51","2.8","1.57","1465.08","0.95","2.73"
"ECLIPSE-2007","[1.52,5.37]","[0.28,0.99]","[0.36,1.53]","[0.99,4.39]","[2.3,7.85]","[1.25,4.02]","[50,1758.33]","[1.26,2.76]","[0,4.64]"
"Metrics-Repo-2010","7.36","6.29","31.36","37.42","37.12","9.67","33.09","10.14","25.95"
"Metrics-Repo-2010","7.99","8.77","130.77","130.84","133.39","14.55","66.82","10.38","26.89"
"Metrics-Repo-2010","[5.75,10.28]","[4.34,9.12]","[12.49,107.41]","[18.89,112.93]","[18.48,128.82]","[6.8,14.92]","[19.81,55.67]","[8.18,13.88]","[19.29,34.22]"
"JIRA-HA-2019","7.84","1.45","2.96","13.79","8.83","10.86","31.23","3.73","21.32"
"JIRA-HA-2019","8.93","1.42","3.16","13.68","10.81","11.99","73.15","3.33","38.75"
"JIRA-HA-2019","[5.2,11.19]","[1.1,2.02]","[2.15,4.22]","[10.32,18.95]","[6.08,12.6]","[7.93,15.75]","[15.61,66.44]","[2.9,4.93]","[14.17,41.23]"
"JIRA-RA-2019","7.21","1.28","3.45","12.8","8.43","9.21","62.25","3.11","9.26"
"JIRA-RA-2019","5.56","0.96","3.8","10.42","7.97","9.62","109.27","3.42","8.54"
"JIRA-RA-2019","[5.85,9.25]","[1.02,1.6]","[2.49,4.85]","[10.17,16.18]","[6.3,11.53]","[7.07,13.93]","[39.22,109.01]","[2.32,4.5]","[6.93,12.16]"
"MA-SZZ-2020","3.91","0.32","1.15","7.35","3.75","2.8","8.82","2","7.76"
"MA-SZZ-2020","6.08","0.41","1.21","10.38","4.97","4.54","41.54","2.67","10.75"
"MA-SZZ-2020","[3.21,4.89]","[0.27,0.37]","[1,1.34]","[6.14,8.94]","[3.16,4.62]","[2.24,3.57]","[5.04,18.79]","[1.67,2.42]","[6.49,9.64]"
"IND-JLMIV+R-2020","9.98","1.37","2.43","15.3","9.4","15.72","64.59","3.71","15.22"
"IND-JLMIV+R-2020","11.03","1.8","3.39","17.51","10.59","21.61","188.8","3.77","19.7"
"IND-JLMIV+R-2020","[8.85,11.39]","[1.18,1.58]","[2.1,2.93]","[13.69,17.85]","[8.39,10.84]","[13.66,19.08]","[48.98,98.39]","[3.32,4.15]","[13.34,17.99]"
