"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","10.21","2.06","0.99","2.82","4.85","5.05","204.72","13.86","5.83"
"ECLIPSE-2007","6.41","1.21","0.86","2.51","2.8","2.5","195.61","5.26","5.74"
"ECLIPSE-2007","[2.98,14.28]","[0.78,2.86]","[0.36,1.53]","[0.99,4.39]","[2.3,6.7]","[2.21,6.62]","[73.83,323.31]","[7.95,17.23]","[0,9.66]"
"Metrics-Repo-2010","79.21","20.13","31.36","37.42","37.12","22.33","130.72","121.31","129.11"
"Metrics-Repo-2010","284","32.83","130.77","130.84","133.39","23.71","381.28","267.21","243.23"
"Metrics-Repo-2010","[27.37,240.98]","[13.62,31.75]","[12.49,107.41]","[18.88,112.93]","[18.46,128.82]","[17.31,30.02]","[59.7,280.77]","[74.2,237.27]","[84.96,247.81]"
"JIRA-HA-2019","10.81","3.48","2.96","13.79","8.83","13.31","61.22","82.22","61.55"
"JIRA-HA-2019","12.29","3.48","3.16","13.68","10.81","13.84","192.58","241.57","117.97"
"JIRA-HA-2019","[7.44,15.93]","[2.61,4.96]","[2.15,4.23]","[10.37,18.96]","[6.08,12.61]","[9.78,18.77]","[25.09,176.65]","[30.27,211.09]","[36.14,122.53]"
"JIRA-RA-2019","11.2","3.16","3.45","12.8","8.43","11.97","159.11","28.72","63.66"
"JIRA-RA-2019","9.18","2.38","3.8","10.42","7.97","13.95","458.57","50.6","120.62"
"JIRA-RA-2019","[9.17,14.86]","[2.53,3.98]","[2.49,4.86]","[10.16,16.23]","[6.32,11.52]","[9.24,19.55]","[78.15,423.08]","[18.99,53.4]","[38.46,126.13]"
"MA-SZZ-2020","4.99","0.67","1.15","7.35","3.75","3.24","18.95","6.3","28"
"MA-SZZ-2020","7.26","0.91","1.21","10.38","4.97","4.86","85.06","11.48","92.52"
"MA-SZZ-2020","[4.16,6.15]","[0.56,0.81]","[1,1.34]","[6.12,8.94]","[3.16,4.63]","[2.64,4.08]","[10.73,38.64]","[4.98,8.34]","[19.18,51.1]"
"IND-JLMIV+R-2020","12.63","3.18","2.43","15.3","9.4","18.58","360.84","13.03","37.36"
"IND-JLMIV+R-2020","14.94","4.58","3.39","17.51","10.59","28.68","2919.97","23.66","95.71"
"IND-JLMIV+R-2020","[11.16,14.44]","[2.71,3.73]","[2.11,2.93]","[13.69,17.85]","[8.39,10.84]","[15.93,23.58]","[173.7,969.6]","[11.04,16.15]","[29.44,57.1]"
