fileName,Ranked1,Ranked2,Ranked3
zeppelin-0.6.0(0.5.6).csv,-3.0,-200.0,-200.0
zeppelin-0.6.1(0.6.0).csv,-200.0,-1.0,1.0
"zeppelin-0.6.1(0.6.0,0.5.6).csv",-200.0,0.0,2.0
zeppelin-0.6.2(0.6.1).csv,-200.0,-200.0,2.0
"zeppelin-0.6.2(0.6.1,0.6.0).csv",-200.0,0.0,-200.0
"zeppelin-0.6.2(0.6.1,0.6.0,0.5.6).csv",-1.0,1.0,-2.0
zeppelin-0.7.0(0.6.2).csv,-200.0,-200.0,-1.0
"zeppelin-0.7.0(0.6.2,0.6.1).csv",-200.0,1.0,-200.0
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0).csv",0.0,-2.0,-200.0
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0,0.5.6).csv",0.0,-200.0,-2.0
zeppelin-0.7.1(0.7.0).csv,0.0,-5.0,-200.0
"zeppelin-0.7.1(0.7.0,0.6.2).csv",-1.0,-200.0,0.0
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1).csv",-3.0,1.0,-200.0
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1,0.6.0).csv",0.0,0.0,-1.0
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1,0.6.0,0.5.6).csv",-2.0,1.0,1.0
zeppelin-0.7.2(0.7.1).csv,-200.0,0.0,-3.0
"zeppelin-0.7.2(0.7.1,0.7.0).csv",0.0,0.0,-2.0
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2).csv",-1.0,1.0,0.0
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1).csv",0.0,0.0,0.0
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1,0.6.0).csv",0.0,0.0,0.0
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1,0.6.0,0.5.6).csv",0.0,-1.0,-4.0
zeppelin-0.7.3(0.7.2).csv,-200.0,-3.0,0.0
"zeppelin-0.7.3(0.7.2,0.7.1).csv",0.0,-200.0,-1.0
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0).csv",0.0,-200.0,-200.0
