Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.175,0.15,0.225,0.0,0.45
JIRA-HA-2019,Ranked1,0.0,0.375,0.625,0.0,0.0
JIRA-RA-2019,Ranked1,0.0,0.0,1.0,0.0,0.0
MA-SZZ-2020,Ranked1,0.20833333333333334,0.0,0.5833333333333334,0.0,0.20833333333333334
Metrics-Repo-2010,Ranked2,0.0,0.35,0.35,0.125,0.175
JIRA-HA-2019,Ranked2,0.09375,0.625,0.15625,0.0,0.125
JIRA-RA-2019,Ranked2,0.0,1.0,0.0,0.0,0.0
MA-SZZ-2020,Ranked2,0.0,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.0
Metrics-Repo-2010,Ranked3,0.225,0.125,0.125,0.425,0.1
JIRA-HA-2019,Ranked3,0.53125,0.0,0.0,0.3125,0.15625
JIRA-RA-2019,Ranked3,0.34375,0.0,0.0,0.5,0.15625
MA-SZZ-2020,Ranked3,0.4166666666666667,0.20833333333333334,0.0,0.375,0.0
