"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","7.25","4.55","62.08","70.26","8.31","56.86","10.56","20.94"
"Metrics-Repo-2010","9.38","4.44","178.53","174.19","12.28","116.19","9.21","21.25"
"Metrics-Repo-2010","5.2","3.41","27.8","36.02","5.41","29.86","8.25","15.14"
"Metrics-Repo-2010","11.76","6.21","165.46","167.35","13.77","120.01","14.06","27.53"
"JIRA-HA-2019","12.44","2.32","11.52","34.43","17.45","65.62","5.3","18.77"
"JIRA-HA-2019","12.91","2.22","15.85","42.57","17.26","122.76","4.72","12.09"
"JIRA-HA-2019","8.99","1.66","7.38","23.55","12.54","34.38","3.83","14.44"
"JIRA-HA-2019","19.72","3.17","18.39","57.8","24.52","127.23","7.03","22.84"
"JIRA-RA-2019","4.06","1.08","2.87","7.39","3.48","33.54","4.16","13.44"
"JIRA-RA-2019","3.53","1.06","3.6","5.93","3.27","83.44","6.97","10.71"
"JIRA-RA-2019","2.89","0.76","1.88","5.56","2.55","15.89","2.38","10.23"
"JIRA-RA-2019","5.41","1.51","4.67","9.69","4.82","88.79","7.43","17.25"
"MA-SZZ-2020","19.07","3.86","78.79","81.43","11.6","134.36","4.16","15.18"
"MA-SZZ-2020","18.24","4.05","149.85","100.42","11.1","271.09","2.45","18.71"
"MA-SZZ-2020","13.97","2.85","44.24","54.03","8.79","77.76","3.53","10.96"
"MA-SZZ-2020","24.13","5.11","133.93","111.46","15.09","248.7","4.84","21.99"
