"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","0.93","2.14","3.18","6.53","4.46","0.95","0","4.42","4.87"
"ECLIPSE-2007","0.39","0.72","0.44","0.9","1.04","0.53","0","0.7","0.83"
"ECLIPSE-2007","[0.49,1.17]","[1.3,2.56]","[2.68,3.46]","[5.5,7.08]","[3.26,5.08]","[0.34,1.26]","[0,0]","[3.62,4.83]","[4.19,5.4]"
"Metrics-Repo-2010","11.03","7.16","53.07","63.37","35.02","6.96","0.88","14.86","13.5"
"Metrics-Repo-2010","12.43","7.77","86.81","92.17","48.48","10.34","6.62","18.44","13.31"
"Metrics-Repo-2010","[8.43,14.82]","[5.49,9.69]","[32.92,80.38]","[42.42,89.6]","[24.84,49.72]","[5.1,11.41]","[0,2.63]","[10.74,21.46]","[10.43,17.01]"
"JIRA-HA-2019","5.01","4.84","5.61","15.27","8.81","7.29","3.98","9.35","16.59"
"JIRA-HA-2019","8.24","3.97","4.1","12.1","5.94","7.42","12.41","8.16","18.3"
"JIRA-HA-2019","[3.14,9.06]","[3.75,6.11]","[4.55,7.12]","[12,19.35]","[7.01,10.74]","[5.45,10.11]","[1.1,9.17]","[7.14,12.03]","[11.91,24.08]"
"JIRA-RA-2019","4","3.68","4.65","13.18","6.43","5.71","1.83","7.99","12.23"
"JIRA-RA-2019","4.07","3.19","4.52","12.35","6.2","5.65","6.75","7.53","10.87"
"JIRA-RA-2019","[2.88,5.49]","[2.67,4.68]","[3.39,6.33]","[9.96,17.8]","[4.75,8.57]","[4.21,8.06]","[0,4.5]","[5.82,10.8]","[8.94,15.98]"
"MA-SZZ-2020","2.72","1.32","2.58","5.33","4.42","2.62","5.87","2.47","3.98"
"MA-SZZ-2020","2.68","1.7","3.43","6.64","4.44","3.24","19.59","3.18","4.89"
"MA-SZZ-2020","[2.35,3.22]","[1.07,1.61]","[2.04,3.16]","[4.36,6.51]","[3.76,5.18]","[2.22,3.23]","[3.35,9.42]","[1.99,2.96]","[3.25,4.82]"
"IND-JLMIV+R-2020","23.8","2.26","3.61","10.64","12.04","17.8","15.42","5.76","16.67"
"IND-JLMIV+R-2020","25.17","2.2","3.28","7.51","11.32","22.53","86.41","3.98","13.88"
"IND-JLMIV+R-2020","[21.37,27.29]","[2.04,2.57]","[3.23,4.03]","[9.84,11.59]","[10.95,13.53]","[15.45,20.66]","[8.01,30.21]","[5.28,6.22]","[15.28,18.4]"
