"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","8.41","5.52","2.8","6.4","4.4","4.71","4.97","31.68","9.74"
"ECLIPSE-2007","2.67","1.57","0.31","0.7","0.74","1.3","6.26","12.56","2.43"
"ECLIPSE-2007","[5.66,10.19]","[3.7,6.43]","[2.54,3]","[5.6,6.79]","[3.54,4.83]","[3.22,5.46]","[1.36,8.59]","[23.55,39.21]","[7.29,11.36]"
"Metrics-Repo-2010","115.39","21.96","46.81","54.13","31.46","36.53","64.57","61.74","53.95"
"Metrics-Repo-2010","233.52","21.62","69.03","70.75","37.8","43.25","211.75","82.4","97.01"
"Metrics-Repo-2010","[73.19,205.9]","[17.02,29.3]","[32.4,69]","[37.98,76.41]","[23.14,43.38]","[27.71,51.14]","[33.2,179.23]","[43.87,87.38]","[33.71,89.52]"
"JIRA-HA-2019","10.32","13.15","6.09","15.17","8.71","18.54","49.45","93.23","75.1"
"JIRA-HA-2019","8.94","10.33","4.46","11.96","6.18","28.42","135.45","316.79","191.57"
"JIRA-HA-2019","[8.04,13.73]","[10.44,16.91]","[4.8,7.49]","[11.79,19.18]","[6.8,10.72]","[13.35,34.62]","[22.46,138.34]","[36.82,361.61]","[37.41,216.66]"
"JIRA-RA-2019","10.07","9.74","4.71","13.44","8.25","11.92","32.04","30.84","34.27"
"JIRA-RA-2019","10.24","9.03","4.79","12.84","6.89","10.02","87.47","26.99","29.82"
"JIRA-RA-2019","[7.08,13.69]","[6.98,12.45]","[3.51,6.69]","[10.06,18.06]","[6.31,10.4]","[9.13,15.47]","[15.19,83.34]","[22.3,39.59]","[25.88,43.96]"
"MA-SZZ-2020","5.62","3.6","2.71","5.76","4.02","4.76","6.89","61.53","19.49"
"MA-SZZ-2020","6.99","4.77","3.26","6.19","4.41","5.23","30.23","145.72","43.29"
"MA-SZZ-2020","[4.67,6.95]","[2.96,4.39]","[2.24,3.23]","[4.8,6.73]","[3.35,4.71]","[4.05,5.58]","[3.64,13.61]","[43.34,96.62]","[14.53,29.68]"
"IND-JLMIV+R-2020","19.56","6.69","4.43","12.37","12.39","25.65","160.85","43.14","70.09"
"IND-JLMIV+R-2020","26.17","13.23","7.48","10.33","13.59","68.47","755.29","87.01","124.93"
"IND-JLMIV+R-2020","[16.97,22.9]","[5.52,9.05]","[3.91,6.24]","[11.38,13.77]","[11.04,14.07]","[20.76,41.46]","[106.62,315.22]","[36.17,59.79]","[58.75,89.98]"
