"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.44","1.79","2.8","6.4","4.4","0.9","0","3.24","4.12"
"ECLIPSE-2007","1.02","0.56","0.31","0.7","0.74","0.73","0","0.9","0.81"
"ECLIPSE-2007","[0.28,2.08]","[1.17,2.16]","[2.54,3]","[5.6,6.83]","[3.54,4.83]","[0.16,1.38]","[0,0]","[2.3,3.84]","[3.19,4.59]"
"Metrics-Repo-2010","11.27","6.41","46.81","54.13","31.46","7.85","10.58","8.88","15.29"
"Metrics-Repo-2010","12.29","7.27","69.03","70.75","37.8","11.27","27.59","9.66","17.89"
"Metrics-Repo-2010","[8.76,15.12]","[5.03,9.09]","[32.15,68.42]","[39.18,74.59]","[23.29,43.26]","[5.65,12.26]","[4.97,18.48]","[6.73,12.09]","[11.92,21.51]"
"JIRA-HA-2019","6.09","4.72","6.09","15.17","8.71","7.88","40.84","6.62","14.42"
"JIRA-HA-2019","8.2","3.99","4.46","11.96","6.18","8.19","218.44","6.31","15.88"
"JIRA-HA-2019","[4.3,10.43]","[3.63,6.13]","[4.76,7.51]","[11.71,19.14]","[7,10.86]","[5.65,11.29]","[4.36,182.81]","[4.88,9.04]","[10.34,20.8]"
"JIRA-RA-2019","4.9","3.76","4.71","13.44","8.25","7.08","7.85","5.86","11.48"
"JIRA-RA-2019","4.45","3.47","4.79","12.84","6.89","6.03","22.15","5.53","9.37"
"JIRA-RA-2019","[3.66,6.44]","[2.76,4.99]","[3.47,6.61]","[9.63,18.03]","[6.25,10.73]","[5.51,9.4]","[2.77,17.24]","[4.28,7.72]","[8.88,14.84]"
"MA-SZZ-2020","2.29","1.33","2.71","5.76","4.02","2.92","10.41","2.26","4.22"
"MA-SZZ-2020","2.64","1.55","3.26","6.19","4.41","3.45","84.77","2.82","5.76"
"MA-SZZ-2020","[1.95,2.81]","[1.08,1.57]","[2.22,3.27]","[4.82,6.72]","[3.37,4.78]","[2.4,3.51]","[0.99,35.54]","[1.88,2.77]","[3.51,5.27]"
"IND-JLMIV+R-2020","23.44","2.35","4.43","12.37","12.39","19.39","33.3","5.36","17.25"
"IND-JLMIV+R-2020","26.73","3.09","7.48","10.33","13.59","25.39","126.03","4.16","17.69"
"IND-JLMIV+R-2020","[20.54,26.49]","[2.08,2.8]","[3.9,6.49]","[11.35,13.66]","[11.03,14.17]","[16.8,22.82]","[23.28,53.89]","[4.88,5.83]","[15.35,19.54]"
