issueKey,type,createdDateEpoch,resolvedDateEpoch
CASSANDRA-13093,Bug,2017-01-04 03:20:58,2018-02-14 16:02:14
CASSANDRA-13094,Bug,2017-01-04 14:53:22,2017-03-29 03:25:12
CASSANDRA-13095,Bug,2017-01-04 17:13:47,
CASSANDRA-13096,Bug,2017-01-05 01:04:06,
CASSANDRA-13097,Bug,2017-01-05 05:35:50,
CASSANDRA-13098,Bug,2017-01-05 05:41:11,
CASSANDRA-13099,Bug,2017-01-05 05:44:23,
CASSANDRA-13100,Bug,2017-01-05 05:49:08,
CASSANDRA-13101,Sub-task,2017-01-05 15:14:09,
CASSANDRA-13102,Bug,2017-01-06 00:59:01,
CASSANDRA-13103,Bug,2017-01-06 03:30:04,2017-04-04 02:08:26
CASSANDRA-13104,Improvement,2017-01-06 04:30:37,2017-01-06 16:41:08
CASSANDRA-13105,Bug,2017-01-06 07:44:12,
CASSANDRA-13106,Improvement,2017-01-06 08:17:04,2017-01-10 02:15:16
CASSANDRA-13107,Sub-task,2017-01-06 20:08:17,2018-05-25 18:58:47
CASSANDRA-13108,Bug,2017-01-06 22:29:36,2017-02-23 00:21:36
CASSANDRA-13109,Bug,2017-01-07 03:50:41,2017-02-09 17:29:20
CASSANDRA-13110,Bug,2017-01-09 00:31:30,2018-11-19 10:00:31
CASSANDRA-13111,Bug,2017-01-09 20:03:43,2017-01-16 17:26:30
CASSANDRA-13112,Bug,2017-01-09 23:31:08,2017-04-08 00:11:25
CASSANDRA-13113,Bug,2017-01-09 23:39:27,2017-05-12 15:14:49
CASSANDRA-13114,Bug,2017-01-10 00:35:00,2017-02-10 04:16:20
CASSANDRA-13115,Bug,2017-01-11 07:00:16,2017-01-19 23:55:59
CASSANDRA-13116,Bug,2017-01-11 17:13:45,2017-01-11 17:38:35
CASSANDRA-13117,Bug,2017-01-11 22:26:31,2017-02-01 22:03:58
CASSANDRA-13118,Bug,2017-01-11 23:35:30,
CASSANDRA-13119,Bug,2017-01-12 05:57:40,2017-05-04 06:19:37
CASSANDRA-13120,Bug,2017-01-13 21:41:38,2017-06-01 16:26:09
CASSANDRA-13121,Bug,2017-01-14 02:03:15,2018-05-14 17:21:13
CASSANDRA-13122,Improvement,2017-01-14 02:57:34,
CASSANDRA-13123,Bug,2017-01-15 05:28:13,2017-10-27 04:43:56
CASSANDRA-13124,Bug,2017-01-16 09:03:26,2017-02-07 04:04:46
CASSANDRA-13125,Bug,2017-01-16 20:29:01,2017-02-08 18:43:19
CASSANDRA-13126,Bug,2017-01-16 22:32:18,
CASSANDRA-13127,Bug,2017-01-17 04:18:59,2017-07-26 17:54:16
CASSANDRA-13128,Bug,2017-01-17 23:13:44,
CASSANDRA-13129,Bug,2017-01-17 23:18:33,
CASSANDRA-13130,Bug,2017-01-18 01:41:00,2017-03-11 04:45:07
CASSANDRA-13131,Improvement,2017-01-18 11:47:43,
CASSANDRA-13132,Improvement,2017-01-18 17:28:32,2017-03-08 00:52:30
CASSANDRA-13133,Bug,2017-01-19 00:54:03,2017-01-20 03:21:16
CASSANDRA-13134,Bug,2017-01-19 04:49:26,
CASSANDRA-13135,Bug,2017-01-19 23:40:30,
CASSANDRA-13136,Improvement,2017-01-20 01:04:45,
CASSANDRA-13137,Bug,2017-01-20 06:49:46,2017-09-29 05:16:44
CASSANDRA-13138,Bug,2017-01-20 19:31:25,
CASSANDRA-13139,Bug,2017-01-20 23:16:57,2017-06-27 04:49:58
CASSANDRA-13140,Bug,2017-01-20 23:21:40,2017-05-10 06:31:08
CASSANDRA-13141,Bug,2017-01-20 23:24:13,2017-03-27 19:27:48
CASSANDRA-13142,Bug,2017-01-21 00:41:52,2018-05-10 19:07:59
CASSANDRA-13143,Bug,2017-01-21 04:28:15,2017-01-27 18:05:48
CASSANDRA-13144,Bug,2017-01-24 02:36:54,
CASSANDRA-13145,Improvement,2017-01-24 03:07:49,2018-05-30 21:27:34
CASSANDRA-13146,Improvement,2017-01-24 15:55:58,2017-03-29 03:32:41
CASSANDRA-13147,Bug,2017-01-24 19:15:17,2017-04-07 18:02:19
CASSANDRA-13148,New Feature,2017-01-24 23:50:53,
CASSANDRA-13149,Bug,2017-01-25 04:45:22,2017-09-29 20:28:26
CASSANDRA-13150,Bug,2017-01-25 11:50:46,2017-02-13 23:25:19
CASSANDRA-13151,Bug,2017-01-25 12:26:48,2017-04-07 17:32:33
CASSANDRA-13152,Bug,2017-01-25 21:14:33,2017-02-07 17:58:46
CASSANDRA-13153,Bug,2017-01-25 23:13:50,2017-03-21 03:29:52
CASSANDRA-13154,New Feature,2017-01-26 04:44:16,
CASSANDRA-13155,Improvement,2017-01-26 04:45:51,
CASSANDRA-13156,New Feature,2017-01-26 04:46:55,
CASSANDRA-13157,Improvement,2017-01-26 04:56:51,
CASSANDRA-13158,Bug,2017-01-26 23:11:03,2017-08-20 02:56:58
CASSANDRA-13159,Bug,2017-01-27 03:32:13,2017-02-11 07:33:12
CASSANDRA-13160,Improvement,2017-01-27 09:31:48,2017-02-01 05:00:19
