Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.175,0.225,0.4,0.1,0.1
JIRA-HA-2019,Ranked1,0.0,0.125,0.875,0.0,0.0
JIRA-RA-2019,Ranked1,0.0,0.0,0.75,0.0,0.25
MA-SZZ-2020,Ranked1,0.16666666666666666,0.0,0.20833333333333334,0.625,0.0
Metrics-Repo-2010,Ranked2,0.4,0.225,0.3,0.075,0.0
JIRA-HA-2019,Ranked2,0.09375,0.78125,0.125,0.0,0.0
JIRA-RA-2019,Ranked2,0.09375,0.6875,0.0,0.0,0.21875
MA-SZZ-2020,Ranked2,0.0,0.0,0.5833333333333334,0.0,0.4166666666666667
Metrics-Repo-2010,Ranked3,0.25,0.45,0.3,0.0,0.0
JIRA-HA-2019,Ranked3,0.46875,0.0,0.0,0.53125,0.0
JIRA-RA-2019,Ranked3,0.625,0.0,0.0,0.375,0.0
MA-SZZ-2020,Ranked3,0.0,0.375,0.0,0.625,0.0
