"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.08","0.21","0.2","0.6","0.69","0.61","0","0.29","2.09"
"ECLIPSE-2007","1.78","0.18","0.2","0.57","0.52","0.88","0","0.17","1.27"
"ECLIPSE-2007","[0.03,3.17]","[0.09,0.32]","[0.01,0.33]","[0.02,0.99]","[0.16,1.04]","[0.01,1.15]","[0,0]","[0.12,0.4]","[0.77,2.93]"
"Metrics-Repo-2010","68.74","7.95","10.55","14.35","12.29","6.84","25.48","39.06","35.62"
"Metrics-Repo-2010","269.25","10.38","20.08","21.18","24.94","8.2","152.56","87.13","95.37"
"Metrics-Repo-2010","[29.29,196.64]","[5.73,11.37]","[6.72,19.41]","[10.14,21.34]","[7.96,22.42]","[5.09,9.18]","[3.73,147.85]","[24.33,77.35]","[18.15,75.37]"
"JIRA-HA-2019","4.2","0.68","1.66","6.06","2.74","4.3","16.72","37.95","20.02"
"JIRA-HA-2019","4.24","0.79","1.69","5.37","2.65","4.91","66.27","81.12","38.07"
"JIRA-HA-2019","[3.15,6.02]","[0.47,0.98]","[1.24,2.29]","[4.56,7.92]","[1.99,3.66]","[2.92,6.1]","[4.66,66.19]","[17.25,73.43]","[11.19,35.56]"
"JIRA-RA-2019","2.51","1.18","1.2","3.57","2.13","3.44","11.86","8.75","18.75"
"JIRA-RA-2019","2.64","1.74","2.18","4.21","2.31","5.75","33.65","15.47","34.06"
"JIRA-RA-2019","[1.92,3.56]","[0.82,2.2]","[0.73,2.12]","[2.49,5.1]","[1.52,2.96]","[2.19,6.18]","[5.17,30.65]","[5.59,16.63]","[10.71,34.13]"
"MA-SZZ-2020","4.47","0.61","1.03","3.65","2.96","2.39","3.49","4.34","31.72"
"MA-SZZ-2020","8.58","0.59","1.38","5","3.95","3.93","19.35","4.92","97.93"
"MA-SZZ-2020","[3.59,6.08]","[0.54,0.7]","[0.87,1.28]","[3.07,4.43]","[2.42,3.53]","[1.91,3.11]","[1.48,7.01]","[3.72,5.07]","[21.71,52.4]"
"IND-JLMIV+R-2020","20.79","1.69","2.56","11.15","8.33","5.2","27.17","24.36","42.63"
"IND-JLMIV+R-2020","184.04","2.5","3.95","15.55","15.69","5.72","96.62","134.93","118.39"
"IND-JLMIV+R-2020","[9.62,63.92]","[1.45,2.02]","[2.2,3.15]","[9.68,13.06]","[7.2,11.92]","[4.59,5.9]","[18.52,41.69]","[14.46,49.04]","[32.68,64.57]"
