"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","0.8","0.07","0.2","0.6","0.69","0.37","0","0.11","1.63"
"ECLIPSE-2007","0.68","0.07","0.2","0.57","0.52","0.53","0","0.06","1.56"
"ECLIPSE-2007","[0.02,1.2]","[0.03,0.11]","[0.01,0.33]","[0.02,0.99]","[0.16,1.04]","[0.01,0.7]","[0,0]","[0.05,0.15]","[0.6,2.58]"
"Metrics-Repo-2010","4.48","2.5","10.55","14.35","12.29","2.59","4.82","12.31","22.58"
"Metrics-Repo-2010","5.15","3.33","20.08","21.18","24.94","4.03","17.32","28.11","71.82"
"Metrics-Repo-2010","[3.34,6.13]","[1.81,3.55]","[6.77,17.66]","[10.16,21.91]","[8.04,23.28]","[1.83,4.02]","[1.32,11.84]","[7.7,27.31]","[11.64,68.31]"
"JIRA-HA-2019","2.85","0.27","1.66","6.06","2.74","3.32","11.17","1.02","2.65"
"JIRA-HA-2019","3.08","0.31","1.69","5.37","2.65","3.79","34.05","1.31","3.67"
"JIRA-HA-2019","[2.06,4.05]","[0.18,0.38]","[1.18,2.28]","[4.64,7.8]","[2.02,3.72]","[2.3,4.73]","[4.5,33.77]","[0.74,1.71]","[1.67,4.12]"
"JIRA-RA-2019","1.56","0.45","1.2","3.57","2.13","2.34","8.23","3.24","11.01"
"JIRA-RA-2019","1.53","0.61","2.18","4.21","2.31","3.31","18.85","14.28","41.4"
"JIRA-RA-2019","[1.21,2.16]","[0.33,0.77]","[0.75,2.16]","[2.46,5.14]","[1.54,2.98]","[1.59,3.77]","[4.13,15.61]","[0.86,11.92]","[4.04,41.39]"
"MA-SZZ-2020","2.33","0.25","1.03","3.65","2.96","1.79","2.44","0.64","2.76"
"MA-SZZ-2020","3.29","0.23","1.38","5","3.95","3.17","13.79","0.73","4.86"
"MA-SZZ-2020","[1.95,2.94]","[0.22,0.28]","[0.86,1.25]","[3.09,4.4]","[2.46,3.54]","[1.43,2.38]","[0.73,4.63]","[0.56,0.76]","[2.24,3.49]"
"IND-JLMIV+R-2020","2.72","0.18","0.87","4.21","3.06","1.6","3.44","0.67","3.62"
"IND-JLMIV+R-2020","3.19","0.21","1.44","5.41","3.29","2.34","11.66","0.74","5.83"
"IND-JLMIV+R-2020","[2.18,3.53]","[0.15,0.23]","[0.67,1.3]","[3.37,5.62]","[2.54,3.8]","[1.21,2.13]","[1.6,6.25]","[0.54,0.83]","[2.71,5.03]"
