Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.175,0.525,0.3,0.0,0.0
JIRA-HA-2019,Ranked1,0.0,0.09375,0.25,0.34375,0.3125
JIRA-RA-2019,Ranked1,0.0,0.34375,0.46875,0.0,0.1875
MA-SZZ-2020,Ranked1,0.0,0.20833333333333334,0.4166666666666667,0.375,0.0
Metrics-Repo-2010,Ranked2,0.3870967741935484,0.0,0.22580645161290322,0.3870967741935484,0.0
JIRA-HA-2019,Ranked2,0.21875,0.25,0.1875,0.34375,0.0
JIRA-RA-2019,Ranked2,0.0,0.4375,0.09375,0.375,0.09375
MA-SZZ-2020,Ranked2,0.0,0.0,1.0,0.0,0.0
Metrics-Repo-2010,Ranked3,0.0,0.0967741935483871,0.25806451612903225,0.5161290322580645,0.12903225806451613
JIRA-HA-2019,Ranked3,0.0,0.3,0.3,0.4,0.0
JIRA-RA-2019,Ranked3,0.72,0.16,0.0,0.12,0.0
MA-SZZ-2020,Ranked3,0.5,0.0,0.0,0.5,0.0
