Dataset,8,7,6,5,4,3,2,1,0
ECLIPSE-2007,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Metrics-Repo-2010,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JIRA-HA-2019,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JIRA-RA-2019,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA-SZZ-2020,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
