"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.59","2.74","2.69","7.23","4.91","1.95","0","4.51","4.47"
"ECLIPSE-2007","0.34","0.73","0.17","0.37","0.32","0.5","0","0.44","0.41"
"ECLIPSE-2007","[2.2,2.81]","[1.91,3.18]","[2.5,2.8]","[6.89,7.48]","[4.63,5.13]","[1.38,2.27]","[0,0]","[4,4.77]","[4.05,4.74]"
"Metrics-Repo-2010","16.2","10.23","37.45","45.43","28.46","13.08","18.17","13.97","18.72"
"Metrics-Repo-2010","15.31","9.98","58.91","59.85","27.85","15.62","38.23","14.8","22.32"
"Metrics-Repo-2010","[12.81,20.2]","[7.89,13.06]","[26.22,57.51]","[33.3,64.35]","[21.95,36.18]","[9.63,17.66]","[10.18,29.96]","[10.52,18.23]","[14.04,25.83]"
"JIRA-HA-2019","6.63","5.07","3.87","15.67","8.68","10.26","31","8.39","20.88"
"JIRA-HA-2019","6.52","4.16","3.63","12.95","7.19","12.54","192.12","7.16","37.39"
"JIRA-HA-2019","[5.06,8.94]","[3.89,6.44]","[2.97,5.26]","[12.51,20.12]","[6.48,11.06]","[7.01,15.6]","[0,153.94]","[6.38,10.97]","[12.7,39.68]"
"JIRA-RA-2019","6.03","4.24","4.56","16.47","9.83","9.16","1.67","7.88","15.01"
"JIRA-RA-2019","6.01","3.57","4.03","14.03","8.47","7.41","10.54","6.7","15.81"
"JIRA-RA-2019","[4.5,8.14]","[3.25,5.41]","[3.46,5.91]","[12.14,20.96]","[7.36,12.7]","[7.18,11.86]","[0,5]","[6.09,10.38]","[11.15,21.46]"
"MA-SZZ-2020","2.98","1.01","2.06","7.76","3.69","4.13","2.36","1.76","4.2"
"MA-SZZ-2020","4.23","1.42","2.32","7.96","5","7.74","12.23","2.29","5.53"
"MA-SZZ-2020","[2.43,3.67]","[0.79,1.23]","[1.7,2.44]","[6.6,9.17]","[3.01,4.54]","[3.1,5.54]","[0.89,5.21]","[1.41,2.16]","[3.43,5.13]"
"IND-JLMIV+R-2020","15.4","2.07","2.56","15.71","9.69","9.14","12.94","4.66","13.61"
"IND-JLMIV+R-2020","20.23","2.77","2.33","8.68","11.14","10.89","68.76","4.49","9.37"
"IND-JLMIV+R-2020","[13.36,18.01]","[1.79,2.4]","[2.35,2.9]","[14.79,16.85]","[8.57,11.18]","[8,10.44]","[7.36,25.63]","[4.19,5.18]","[12.53,14.75]"
