"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","11.38","7.7","2.69","7.23","4.91","6.37","32.91","33.64","8.3"
"ECLIPSE-2007","3.27","1.81","0.17","0.37","0.32","0.56","39.68","10.37","2.16"
"ECLIPSE-2007","[8.08,13.56]","[5.61,8.77]","[2.5,2.8]","[6.89,7.48]","[4.63,5.13]","[5.76,6.74]","[7.48,56.63]","[24.77,40.4]","[6.79,9.63]"
"Metrics-Repo-2010","87.44","29.63","37.45","45.43","28.46","50.16","71.93","172.28","78.79"
"Metrics-Repo-2010","198.84","27.87","58.91","59.85","27.85","56.1","188.63","358.68","152.72"
"Metrics-Repo-2010","[55.88,230.83]","[23.35,37.95]","[25.32,58.06]","[32.56,66.2]","[21.94,37.28]","[37.68,67.58]","[37.41,142.28]","[105.87,308.38]","[51.51,149.15]"
"JIRA-HA-2019","11.9","11.74","3.87","15.67","8.68","14.11","152.61","632.05","37.97"
"JIRA-HA-2019","9.56","9.22","3.63","12.95","7.19","14.4","904.23","3470.78","55.59"
"JIRA-HA-2019","[8.97,14.88]","[9.02,14.97]","[3.03,5.47]","[12.4,20.6]","[6.41,10.91]","[10.66,19.71]","[6.03,873.37]","[62.73,3388.03]","[26.66,63.8]"
"JIRA-RA-2019","12.36","9.9","4.56","16.47","9.83","14.33","5.71","42.55","93.89"
"JIRA-RA-2019","12.74","8.36","4.03","14.03","8.47","10.89","13.39","43.64","225.57"
"JIRA-RA-2019","[8.59,16.47]","[7.45,12.68]","[3.46,5.97]","[12.18,20.96]","[7.36,12.69]","[10.83,17.54]","[3.14,13.13]","[30.91,59.33]","[51.69,308.6]"
"MA-SZZ-2020","4.64","2.06","2.06","7.76","3.69","5.75","5.71","6.14","8.92"
"MA-SZZ-2020","5.94","2.88","2.32","7.96","5","9.53","20.34","10.66","14.49"
"MA-SZZ-2020","[3.86,5.7]","[1.66,2.6]","[1.73,2.44]","[6.67,9.17]","[2.98,4.59]","[4.32,7.27]","[3.27,10.32]","[4.81,8.24]","[7.15,11.95]"
"IND-JLMIV+R-2020","8.05","5.73","2.1","11.76","6.39","8.25","20.18","14.52","18.32"
"IND-JLMIV+R-2020","10.37","6.81","2.45","9.12","7.17","7.01","92.54","15.33","20.57"
"IND-JLMIV+R-2020","[6.41,10.35]","[4.56,7.2]","[1.73,2.65]","[10.25,13.65]","[5.2,8.06]","[6.95,9.66]","[8.8,52.08]","[11.69,17.65]","[15.29,23.26]"
