"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","11.18","3.05","0.58","2.29","6.37","1.78","200","3.37","5.23"
"ECLIPSE-2007","17.01","4.35","0.75","2.83","8.39","2.06","346.41","5.33","8.19"
"ECLIPSE-2007","[0.64,21.24]","[0.09,5.7]","[0.1,1.02]","[0.48,3.98]","[0.7,16.01]","[0.54,2.99]","[0,400]","[0.15,6.5]","[0,10.11]"
"Metrics-Repo-2010","8.11","3.16","8.46","13.73","12.31","6.21","16.04","12.35","24.45"
"Metrics-Repo-2010","7.83","3.29","10.8","13.41","12.59","8.88","28.3","20.52","54.18"
"Metrics-Repo-2010","[6.31,10.51]","[2.44,4.26]","[6.23,11.82]","[10.57,17.3]","[9.55,15.78]","[4.54,9.52]","[9.41,24.16]","[8.25,19.32]","[16.15,53.81]"
"JIRA-HA-2019","18.43","5.31","1.82","11.43","9.71","7.98","26.18","4.02","16.98"
"JIRA-HA-2019","35.56","16.21","2.4","11.71","11.71","10.76","56.45","5.45","32.18"
"JIRA-HA-2019","[10.63,34.76]","[2.44,18.56]","[1.24,2.78]","[8.07,15.64]","[6.83,14.5]","[5.27,12.35]","[14.52,54.48]","[2.71,6.41]","[11.2,37.61]"
"JIRA-RA-2019","13.19","3.89","2.16","12.18","10.36","9.31","37.75","2.88","13.59"
"JIRA-RA-2019","17.39","6.48","2.55","15.33","12.5","9.56","87.69","2.74","17.91"
"JIRA-RA-2019","[9.38,20.41]","[2.51,7.54]","[1.49,3.1]","[9.01,19.65]","[7.64,15.86]","[6.65,12.75]","[19.84,80.28]","[2.19,3.94]","[9.44,20.94]"
"MA-SZZ-2020","2.85","1.14","0.88","3.65","3.3","2.13","3.25","2.01","9.05"
"MA-SZZ-2020","5.94","4.32","2.18","7.21","6.53","5.06","16.01","4.74","19.63"
"MA-SZZ-2020","[2.25,4.33]","[0.72,2.04]","[0.64,1.24]","[2.8,4.91]","[2.61,4.67]","[1.56,3.12]","[1.46,6.1]","[1.48,2.87]","[6.91,12.75]"
"IND-JLMIV+R-2020","4.46","0.77","0.82","7.82","6.94","4.09","18.27","1.41","7.09"
"IND-JLMIV+R-2020","7.5","1.24","2.87","22.12","22","5.87","57.01","1.82","11.72"
"IND-JLMIV+R-2020","[3.32,6.45]","[0.57,1.07]","[0.46,1.83]","[5.09,14.84]","[4.5,15.58]","[3.16,5.5]","[10.37,35.54]","[1.14,1.88]","[5.21,9.94]"
