"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","4.82","1.47","11.46","17.25","2.11","6.83","11.6","11.04"
"Metrics-Repo-2010","4.41","1.37","22.86","31.11","2.25","19.64","31.37","20.06"
"Metrics-Repo-2010","3.73","1.11","6.4","10.23","1.54","2.5","5.27","6.76"
"Metrics-Repo-2010","6.67","2.01","23.29","33.48","2.95","16.08","36.42","19.98"
"JIRA-HA-2019","6.22","1.77","6.37","15.44","5.1","3.12","2.52","8.03"
"JIRA-HA-2019","8.04","3.06","13.93","25.84","6.57","17.68","3.28","9.76"
"JIRA-HA-2019","3.9","1.01","2.85","8.92","3.14","0","1.62","5.49"
"JIRA-HA-2019","9.62","3.23","13.85","28.79","7.84","12.5","4","12.4"
"JIRA-RA-2019","4.35","1.17","2.88","7.47","4.1","3.12","1.81","8.93"
"JIRA-RA-2019","5.48","1.94","4.31","9.15","5.77","17.68","2.21","14.01"
"JIRA-RA-2019","2.89","0.73","1.69","4.73","2.55","0","1.2","5.52"
"JIRA-RA-2019","6.83","2.19","4.78","11.23","6.98","9.38","2.82","15.3"
"MA-SZZ-2020","20.61","23.08","27.01","29.76","26.13","95","14.99","35.85"
"MA-SZZ-2020","30.85","40.12","77.65","64.71","40.65","142.47","21.45","32.27"
"MA-SZZ-2020","13.63","13.22","10.66","16.05","17.34","66.68","10.32","27.91"
"MA-SZZ-2020","31.59","36.78","61.46","58.73","42.52","157.96","21.92","45.72"
