"name_id","AvgWMC","CCMax","CDE","CIE","NTM","SDMC","WMC","AvgSLOC","NA.","NAIMP","NCM","NIM","NLM","NM","NMIMP","NMNpub","Nmpub","NumPara","loc","stms","AID","CLD","DIT","DP","DPA","DPD","NMA","NMI","NMO","NOA","NOC","NOD","NOP","PII","SIX","SP","SPA","SPD","CBO","DAC","DACquote","ICP","IHICP","MPC","MPCNew","NIHICP","RFC","bug"
"runners\google-cloud-dataflow-java\worker\src\main\java\com\google\cloud\dataflow\worker\DataflowRunnerHarness.java",1,1,2.32192809488736,3.39274741044878,1,0,1,3,0,0,1,0,1,1,1,0,1,1,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,38,2,1,0
"sdks\java\io\google-cloud-platform\src\test\java\com\google\cloud\spanner\FakeBatchTransactionId.java",1.66666666666667,3,3.08505510275648,3.57774716291095,2,0.942809041582063,5,5.66666666666667,1,1,0,3,3,3,3,0,3,2,22,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0
"sdks\java\io\google-cloud-platform\src\test\java\com\google\cloud\spanner\FakePartitionFactory.java",1,1,2.52192809488736,4.03039478823102,3,0,3,5,0,0,2,1,3,3,3,1,2,2,17,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"sdks\java\maven-archetypes\starter\src\test\resources\projects\basic\reference\src\main\java\it\pkg\StarterPipeline.java",1,1,2.94770277922009,4.59708281840767,1,0,1,21,1,1,1,0,1,1,1,0,1,1,24,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,1,16,0,9,25,16,116,0
"sdks\java\build-tools\src\test\java\org\apache\beam\codestyle\CodeStyleTestClass.java",1,1,2.77736279506417,2.23592635062903,1,0,1,3,0,0,1,0,1,1,1,0,1,1,12,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,3,3,3,0
"examples\java\src\main\java\org\apache\beam\examples\DebuggingWordCount.java",1,1,5.08296055294147,4.95886500124905,2,0,2,8,0,0,2,0,2,2,2,0,2,2,46,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,24,0,12,49,24,165,0
"examples\java\src\test\java\org\apache\beam\examples\DebuggingWordCountTest.java",1.5,2,3.25162916738782,4.56148218672078,1,0.5,3,9,1,1,0,2,2,2,2,1,1,1,22,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,0,2,23,4,167,0
"examples\kotlin\src\test\java\org\apache\beam\examples\DebuggingWordCountTestKotlin.java",1.5,2,3.25162916738782,4.56128668417679,1,0.5,3,9.5,1,1,0,2,2,2,2,1,1,1,23,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,1,17,2,92,0
"examples\java\src\main\java\org\apache\beam\examples\MinimalWordCount.java",1,1,2,4.95656476213095,1,0,4,17,0,0,1,0,1,1,1,0,1,1,19,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,15,0,11,25,15,151,0
"examples\java\src\test\java\org\apache\beam\examples\MinimalWordCountTest.java",1,1,3.66449777920046,5.56180555315555,2,0,7,14,1,1,0,2,2,2,2,1,1,0,32,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,1,1,17,0,11,55,17,65,0
