Dataset,shift(1)=0,shift(2)=0,shift(3)=0
ECLIPSE-2007,1.0,0.3333333333333333,0.3333333333333333
Metrics-Repo-2010,0.6140350877192983,0.5087719298245614,0.43859649122807015
JIRA-HA-2019,0.6923076923076923,0.4358974358974359,0.358974358974359
JIRA-RA-2019,0.47619047619047616,0.2857142857142857,0.23809523809523808
MA-SZZ-2020,0.8682926829268293,0.5756097560975609,0.4926829268292683
ECLIPSE-2007,0.6666666666666666,0.3333333333333333,0.6666666666666666
Metrics-Repo-2010,0.631578947368421,0.3508771929824561,0.21052631578947367
JIRA-HA-2019,0.5897435897435898,0.358974358974359,0.3333333333333333
JIRA-RA-2019,0.47619047619047616,0.38095238095238093,0.3333333333333333
MA-SZZ-2020,0.6926829268292682,0.5463414634146342,0.45365853658536587
ECLIPSE-2007,1.0,0.6666666666666666,0.6666666666666666
Metrics-Repo-2010,0.5789473684210527,0.42105263157894735,0.5087719298245614
JIRA-HA-2019,0.6153846153846154,0.5641025641025641,0.41025641025641024
JIRA-RA-2019,0.5952380952380952,0.38095238095238093,0.42857142857142855
MA-SZZ-2020,0.7317073170731707,0.43902439024390244,0.28292682926829266
ECLIPSE-2007,0.3333333333333333,0.3333333333333333,0.3333333333333333
Metrics-Repo-2010,0.43859649122807015,0.3157894736842105,0.2631578947368421
JIRA-HA-2019,0.41025641025641024,0.38461538461538464,0.28205128205128205
JIRA-RA-2019,0.5238095238095238,0.30952380952380953,0.30952380952380953
MA-SZZ-2020,0.5707317073170731,0.32195121951219513,0.25365853658536586
ECLIPSE-2007,0.3333333333333333,0.3333333333333333,0.3333333333333333
Metrics-Repo-2010,0.49122807017543857,0.2982456140350877,0.2807017543859649
JIRA-HA-2019,0.38461538461538464,0.15384615384615385,0.23076923076923078
JIRA-RA-2019,0.5714285714285714,0.2857142857142857,0.4523809523809524
MA-SZZ-2020,0.5609756097560976,0.3024390243902439,0.2097560975609756
ECLIPSE-2007,0.3333333333333333,0.3333333333333333,0.0
Metrics-Repo-2010,0.45614035087719296,0.24561403508771928,0.24561403508771928
JIRA-HA-2019,0.3333333333333333,0.28205128205128205,0.15384615384615385
JIRA-RA-2019,0.2857142857142857,0.2857142857142857,0.3333333333333333
MA-SZZ-2020,0.5414634146341464,0.2146341463414634,0.14146341463414633
ECLIPSE-2007,0.3333333333333333,0.3333333333333333,0.0
Metrics-Repo-2010,0.7192982456140351,0.5614035087719298,0.3684210526315789
JIRA-HA-2019,0.7948717948717948,0.6666666666666666,0.48717948717948717
JIRA-RA-2019,0.6190476190476191,0.5714285714285714,0.5
MA-SZZ-2020,0.8,0.6439024390243903,0.624390243902439
ECLIPSE-2007,1.0,0.3333333333333333,0.6666666666666666
Metrics-Repo-2010,0.7543859649122807,0.3684210526315789,0.2807017543859649
JIRA-HA-2019,0.6666666666666666,0.358974358974359,0.358974358974359
JIRA-RA-2019,0.5952380952380952,0.30952380952380953,0.2857142857142857
MA-SZZ-2020,0.7317073170731707,0.5073170731707317,0.5170731707317073
ECLIPSE-2007,1.0,0.3333333333333333,0.3333333333333333
Metrics-Repo-2010,0.6140350877192983,0.43859649122807015,0.2982456140350877
JIRA-HA-2019,0.6153846153846154,0.46153846153846156,0.5128205128205128
JIRA-RA-2019,0.5952380952380952,0.5238095238095238,0.5714285714285714
MA-SZZ-2020,0.6146341463414634,0.3024390243902439,0.21951219512195122
ECLIPSE-2007,0.6666666666666666,0.6666666666666666,0.6666666666666666
Metrics-Repo-2010,0.7192982456140351,0.5964912280701754,0.38596491228070173
JIRA-HA-2019,0.6153846153846154,0.358974358974359,0.2564102564102564
JIRA-RA-2019,0.5476190476190477,0.5,0.5
MA-SZZ-2020,0.7414634146341463,0.4975609756097561,0.4
ECLIPSE-2007,0.6666666666666666,0.6666666666666666,0.6666666666666666
Metrics-Repo-2010,0.6842105263157895,0.3684210526315789,0.14035087719298245
JIRA-HA-2019,0.5897435897435898,0.38461538461538464,0.23076923076923078
JIRA-RA-2019,0.42857142857142855,0.19047619047619047,0.14285714285714285
MA-SZZ-2020,0.6048780487804878,0.32682926829268294,0.2731707317073171
ECLIPSE-2007,1.0,1.0,0.6666666666666666
Metrics-Repo-2010,0.543859649122807,0.3684210526315789,0.14035087719298245
JIRA-HA-2019,0.41025641025641024,0.2564102564102564,0.1794871794871795
JIRA-RA-2019,0.5476190476190477,0.47619047619047616,0.35714285714285715
MA-SZZ-2020,0.5414634146341464,0.23902439024390243,0.0975609756097561
ECLIPSE-2007,0.6666666666666666,0.6666666666666666,0.0
Metrics-Repo-2010,0.6140350877192983,0.42105263157894735,0.3333333333333333
JIRA-HA-2019,0.6923076923076923,0.5897435897435898,0.1794871794871795
JIRA-RA-2019,0.7619047619047619,0.35714285714285715,0.2619047619047619
MA-SZZ-2020,0.5121951219512195,0.3024390243902439,0.13658536585365855
ECLIPSE-2007,0.6666666666666666,0.3333333333333333,0.3333333333333333
Metrics-Repo-2010,0.6666666666666666,0.2807017543859649,0.22807017543859648
JIRA-HA-2019,0.46153846153846156,0.48717948717948717,0.28205128205128205
JIRA-RA-2019,0.6428571428571429,0.3333333333333333,0.23809523809523808
MA-SZZ-2020,0.5707317073170731,0.36585365853658536,0.3024390243902439
ECLIPSE-2007,0.6666666666666666,0.6666666666666666,0.0
Metrics-Repo-2010,0.5614035087719298,0.3508771929824561,0.3333333333333333
JIRA-HA-2019,0.5641025641025641,0.3333333333333333,0.2564102564102564
JIRA-RA-2019,0.6190476190476191,0.35714285714285715,0.3333333333333333
MA-SZZ-2020,0.4926829268292683,0.3073170731707317,0.32195121951219513
ECLIPSE-2007,1.0,0.6666666666666666,0.3333333333333333
Metrics-Repo-2010,0.49122807017543857,0.15789473684210525,0.10526315789473684
JIRA-HA-2019,0.358974358974359,0.20512820512820512,0.10256410256410256
JIRA-RA-2019,0.4523809523809524,0.19047619047619047,0.07142857142857142
MA-SZZ-2020,0.2634146341463415,0.2,0.12195121951219512
ECLIPSE-2007,0.6666666666666666,0.3333333333333333,0.3333333333333333
Metrics-Repo-2010,0.3684210526315789,0.15789473684210525,0.12280701754385964
JIRA-HA-2019,0.358974358974359,0.28205128205128205,0.10256410256410256
JIRA-RA-2019,0.40476190476190477,0.14285714285714285,0.07142857142857142
MA-SZZ-2020,0.34146341463414637,0.16585365853658537,0.07804878048780488
ECLIPSE-2007,1.0,0.6666666666666666,0.6666666666666666
