Dataset,c,20%SLOC,10%,20%,30%
Metrics-Repo-2010,0.17592319417989866,0.28162522191675504,0.29401996506817685,0.2188858999121412,0.16574187505304439
JIRA-HA-2019,0.11586062885790555,0.15527300771257005,0.11991468496156783,0.0884716445382211,0.08411142437798817
JIRA-RA-2019,0.15153011096045924,0.1583775579657382,0.1129241418314935,0.08201514858672802,0.06332712170668715
MA-SZZ-2020,0.26296218532738136,0.3132819126710105,0.15723899363432334,0.1340563823986198,0.0876499227294162
Metrics-Repo-2010,0.24050574396201826,0.3804871493814617,0.40704303899282773,0.30241624070308826,0.24156885400889733
JIRA-HA-2019,0.3919489352840646,0.33590800713481045,0.2747777891599771,0.23844725592920807,0.22505130177175034
JIRA-RA-2019,0.14655530411273568,0.1811610507607379,0.12976225127120755,0.08331295276697745,0.0702503808314506
MA-SZZ-2020,0.37666390248053766,0.34048896855009764,0.3105505346543896,0.2848553222933594,0.23390373021500646
Metrics-Repo-2010,0.5048763305014343,0.6837136275395556,0.6359867266074668,0.5430647566230464,0.4623386158399355
JIRA-HA-2019,0.23773569582810122,0.19258028796042778,0.16516158824960772,0.16640640384165697,0.164725967599816
JIRA-RA-2019,0.13793129944928428,0.14715535046107764,0.1195443795648764,0.1389663827493945,0.11683226362659656
MA-SZZ-2020,0.5279247494674938,0.3308112223227262,0.3114093575268172,0.21656626041430493,0.20092791902088292
Metrics-Repo-2010,0.15065698794757268,0.3362373600180403,0.32691686066156045,0.27799772822875773,0.2067393996528722
JIRA-HA-2019,0.1396771165665583,0.23029294985573956,0.162401759298801,0.1291837455103635,0.09458396895423513
JIRA-RA-2019,0.0996998845571003,0.24126706393359976,0.15953704624498005,0.1002607887191706,0.06546249362933507
MA-SZZ-2020,0.2534574993414918,0.34390589095358837,0.31769190598316005,0.2072283314194587,0.11553713545696104
Metrics-Repo-2010,0.23185848183453173,0.38040996020786,0.40300776298892,0.28244267874885887,0.2230770009109853
