Dataset,F1,AUC,MAP,MRR,ER,RI,Popt,ACC
ECLIPSE-2007,1/3	,0/3	,0/3	,2/3	,0/3	,1/3	,2/3	,1/3	
Metrics-Repo-2010,38/57	,31/57	,35/57	,19/57	,24/57	,34/57	,47/57	,42/57	
JIRA-HA-2019,26/39	,10/39	,22/39	,16/39	,9/39	,23/39	,29/39	,31/39	
JIRA-RA-2019,27/42	,12/42	,23/42	,23/42	,6/42	,23/42	,29/42	,32/42	
MA-SZZ-2020,68/205	,15/205	,60/205	,36/205	,5/205	,66/205	,70/205	,113/205	
