"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","3.87","0.71","0.99","2.82","4.85","3","908.33","3.11","3.86"
"ECLIPSE-2007","2.27","0.41","0.86","2.51","2.8","1.57","1465.08","1.33","3.64"
"ECLIPSE-2007","[1.52,5.37]","[0.28,0.99]","[0.36,1.53]","[0.99,4.39]","[2.3,7.85]","[1.25,4.02]","[50,1758.33]","[1.62,3.97]","[0.16,6.28]"
"Metrics-Repo-2010","7.36","6.29","31.36","37.42","37.12","9.67","33.09","113.01","22.34"
"Metrics-Repo-2010","7.99","8.77","130.77","130.84","133.39","14.55","66.82","409.9","26.36"
"Metrics-Repo-2010","[5.75,10.28]","[4.34,9.12]","[12.49,107.41]","[18.89,112.93]","[18.48,128.82]","[6.8,14.92]","[19.81,55.67]","[50.32,310.51]","[16.25,30.98]"
"JIRA-HA-2019","7.84","1.45","2.96","13.79","8.83","10.86","31.23","22.8","22.98"
"JIRA-HA-2019","8.93","1.42","3.16","13.68","10.81","11.99","73.15","27.02","76.46"
"JIRA-HA-2019","[5.2,11.19]","[1.1,2.02]","[2.15,4.22]","[10.32,18.95]","[6.08,12.6]","[7.93,15.75]","[15.61,66.44]","[15.86,32.98]","[10.13,62.9]"
"JIRA-RA-2019","7.21","1.28","3.45","12.8","8.43","9.21","62.25","86.45","9.99"
"JIRA-RA-2019","5.56","0.96","3.8","10.42","7.97","9.62","109.27","327.18","8.54"
"JIRA-RA-2019","[5.85,9.25]","[1.02,1.6]","[2.49,4.85]","[10.17,16.18]","[6.3,11.53]","[7.07,13.93]","[39.22,109.01]","[30.61,292.69]","[7.74,12.84]"
"MA-SZZ-2020","3.91","0.32","1.15","7.35","3.75","2.8","8.82","45.26","8.11"
"MA-SZZ-2020","6.08","0.41","1.21","10.38","4.97","4.54","41.54","182.12","10.11"
"MA-SZZ-2020","[3.21,4.89]","[0.27,0.37]","[1,1.34]","[6.14,8.94]","[3.16,4.62]","[2.24,3.57]","[5.04,18.79]","[29.38,93.43]","[6.91,9.97]"
"IND-JLMIV+R-2020","9.98","1.37","2.43","15.3","9.4","15.72","64.59","152.31","15.19"
"IND-JLMIV+R-2020","11.03","1.8","3.39","17.51","10.59","21.61","188.8","552.46","17.48"
"IND-JLMIV+R-2020","[8.85,11.39]","[1.18,1.58]","[2.1,2.93]","[13.69,17.85]","[8.39,10.84]","[13.66,19.08]","[48.98,98.39]","[110.99,249.47]","[13.48,17.51]"
