"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","7.44","3.62","18.36","25.43","9.3","19.17","10.49","16.23"
"Metrics-Repo-2010","7.63","4.9","26.37","30.44","25.83","58.78","14.88","16.65"
"Metrics-Repo-2010","5.52","2.53","12.31","18.03","4.47","6.25","7.01","11.62"
"Metrics-Repo-2010","10.4","6","30.25","37.85","26.88","50.42","17.16","22.02"
"JIRA-HA-2019","4.57","1.12","2.04","7.6","4.99","19.27","2.59","9.2"
"JIRA-HA-2019","3.09","0.83","1.58","4.99","4.65","44.02","2.16","11.06"
"JIRA-HA-2019","3.68","0.86","1.6","6.01","3.57","8.33","1.91","6.68"
"JIRA-HA-2019","5.75","1.43","2.65","9.33","6.97","43.92","3.42","15.81"
"JIRA-RA-2019","2.78","0.87","1.39","4.99","3.95","15.89","4.57","12.42"
"JIRA-RA-2019","2.44","1.14","1.3","4.15","3.44","39.73","8.3","18.18"
"JIRA-RA-2019","2.11","0.58","1","3.71","2.97","6.77","2.44","8.04"
"JIRA-RA-2019","3.83","1.52","1.91","6.52","5.29","38.11","8.05","20.52"
"MA-SZZ-2020","18.16","2.83","31.1","35.22","8.69","29.77","3.92","29.05"
"MA-SZZ-2020","20.51","1.74","55.55","48.86","7.15","33.04","2.68","33.88"
"MA-SZZ-2020","13.34","2.34","19.49","24.8","6.69","21.48","3.24","21.56"
"MA-SZZ-2020","25.78","3.32","53.47","55.26","10.88","40.15","4.82","43.23"
