"name_id","AvgWMC","CCMax","CDE","CIE","NTM","SDMC","WMC","AvgSLOC","NA.","NAIMP","NCM","NIM","NLM","NM","NMIMP","NMNpub","Nmpub","NumPara","loc","stms","AID","CLD","DIT","DP","DPA","DPD","NMA","NMI","NMO","NOA","NOC","NOD","NOP","PII","SIX","SP","SPA","SPD","CBO","DAC","DACquote","ICP","IHICP","NIHICP","bug"
"angular\src\main\java\org\apache\zeppelin\angular\AngularInterpreter.java",1,1,4.25951419952897,4.83420945944805,9,0,9,2.77777777777778,5,0,0,9,9,23,9,0,9,7,38,17,1,0,1,8,8,0,1,14,8,1,0,0,1,0.246212121212121,0.347826086956522,0,0,0,7,0,0,10,2,8,0
"flink\src\main\java\org\apache\zeppelin\flink\FlinkEnvironment.java",1.66666666666667,2,3.92325179698034,4.65258715720069,1,0.471404520791032,5,10,4,4,0,3,3,3,3,0,3,4,38,28,1,0,1,0,0,0,3,0,0,1,0,0,1,0.125,0,0,0,0,1,3,3,2,0,2,0
"flink\src\main\java\org\apache\zeppelin\flink\FlinkIMain.java",2.5,4,3.58989809546429,5.32962440974911,1,1.5,5,16.5,1,1,0,2,2,2,2,0,2,2,36,28,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0,0,0,0,1,1,1,5,0,5,0
"flink\src\main\java\org\apache\zeppelin\flink\FlinkInterpreter.java",2.45,7,5.79089448941372,6.68290923018421,7,1.68745370306862,49,9.3,13,8,1,19,20,35,20,9,11,14,215,149,1,0,1,7,7,0,13,15,7,1,0,0,1,0.260822510822511,0.2,1,1,0,8,8,8,33,10,23,0
"flink\src\main\java\org\apache\zeppelin\flink\JarHelper.java",3.85714285714286,12,4.47304804104515,5.88275272342169,3,3.8703477668983,27,17.1428571428571,6,6,1,6,7,7,7,1,6,13,128,95,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"flink\src\test\java\org\apache\zeppelin\flink\FlinkInterpreterTest.java",1,1,3.54659356429494,3.81899186693071,4,0,4,5.5,2,2,2,2,4,4,4,0,4,0,30,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,2,2,33,0,33,0
"hive\src\main\java\org\apache\zeppelin\hive\HiveInterpreter.java",2.18181818181818,8,5.16021826492481,5.82959954378106,7,2.03685059112801,24,11,13,8,0,11,11,28,11,1,10,13,149,87,1,1,1,6,5,1,6,17,5,1,1,1,1,0.285281385281385,0.178571428571429,3,3,0,7,7,5,21,8,13,0
"hive\src\test\java\org\apache\zeppelin\hive\HiveInterpreterTest.java",6,6,23.3765340266823,25.09999620309,317,0,317,18.7029545013838,13,0,0,317,317,343,317,0,317,373,1158,518,2,0,2,1,1,0,316,26,1,2,0,0,1,0.45679012345679,0.0714285714285714,0,0,0,9,0,0,17,2,15,0
"markdown\src\main\java\org\apache\zeppelin\markdown\Markdown.java",1.11111111111111,2,4.44336562664418,5.23408944755692,8,0.314269680527354,10,3.33333333333333,6,1,0,9,9,24,9,0,9,8,44,23,1,0,1,7,7,0,2,15,7,1,0,0,1,0.264790764790765,0.291666666666667,1,1,0,7,1,1,15,2,13,0
"markdown\src\test\java\org\apache\zeppelin\markdown\MarkdownTest.java",1,1,2.94770277922009,4.05595815161512,3,0,3,3.66666666666667,0,0,0,3,3,3,3,0,3,0,16,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,8,0
"shell\src\main\java\org\apache\zeppelin\shell\ShellInterpreter.java",1.22222222222222,3,4.58629576647919,5.56379435286736,8,0.628539361054709,11,4.44444444444444,7,2,0,9,9,24,9,0,9,9,55,34,1,0,1,7,7,0,2,15,7,1,0,0,1,0.264790764790765,0.291666666666667,1,1,0,6,1,1,15,2,13,0
"spark\src\main\java\org\apache\zeppelin\spark\DepInterpreter.java",2.5,6,5.58418371977919,6.67032928418806,8,1.76776695296637,40,10,10,5,0,16,16,31,16,5,11,11,184,126,1,0,1,7,7,0,9,15,7,1,0,0,1,0.303679653679654,0.225806451612903,1,1,0,10,5,5,27,7,20,0
"spark\src\main\java\org\apache\zeppelin\spark\PySparkInterpreter.java",2.23809523809524,10,5.82081689888127,6.85168075790591,10,2.04484862415085,47,11.0952380952381,23,18,0,21,21,38,21,4,17,19,289,186,1,0,1,5,5,0,16,17,5,1,0,0,1,0.232620320855615,0.131578947368421,2,2,0,12,14,9,55,9,46,0
"spark\src\main\java\org\apache\zeppelin\spark\SparkInterpreter.java",3.93548387096774,27,6.056895358971,7.68521213700271,14,5.19264668589907,122,17.1290322580645,17,12,3,28,31,46,31,8,23,35,582,405,1,0,1,7,7,0,24,15,7,1,0,0,1,0.313679653679654,0.152173913043478,2,2,0,15,12,12,63,22,41,0
"spark\src\main\java\org\apache\zeppelin\spark\SparkSqlInterpreter.java",3.07142857142857,9,5.20542019046704,6.58186969200517,8,2.7636488745933,43,12.4285714285714,8,3,0,14,14,29,14,4,10,18,203,133,1,0,1,7,7,0,7,15,7,1,0,0,1,0.251893939393939,0.241379310344828,1,1,0,12,2,2,41,12,29,0
