"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.82","0.43","1.29","3.65","4.11","3.13","255","1.26","3.47"
"ECLIPSE-2007","0.99","0.46","0.2","0.6","0.96","0.75","342.53","0.56","1.46"
"ECLIPSE-2007","[2.18,3.41]","[0.05,0.73]","[1.08,1.42]","[3.06,4.05]","[3.41,4.71]","[2.46,3.63]","[40,650]","[0.83,1.62]","[1.79,4.32]"
"Metrics-Repo-2010","6.62","4.45","9.12","14.96","14.14","5.64","23.13","9.24","21.37"
"Metrics-Repo-2010","5.94","4.42","9.35","12.78","13.15","6.68","46.71","8.1","24.4"
"Metrics-Repo-2010","[5.29,8.37]","[3.48,5.75]","[7.07,11.98]","[12.13,18.71]","[11.28,18.7]","[4.12,7.58]","[13.23,38.26]","[7.43,11.67]","[15.59,28.75]"
"JIRA-HA-2019","6.45","1.51","2.65","11.15","8.37","8.89","26.58","3.89","17.15"
"JIRA-HA-2019","6.71","1.23","2.53","9.47","8.66","12.04","35.93","3.29","17.43"
"JIRA-HA-2019","[4.75,9.39]","[1.2,1.98]","[1.99,3.67]","[8.69,14.68]","[6.41,12.53]","[5.76,13.97]","[16.18,37.98]","[2.93,4.95]","[12.62,24.55]"
"JIRA-RA-2019","5.45","1.12","2.68","9.78","6.46","8.17","57.25","3.21","11.35"
"JIRA-RA-2019","4.54","1.63","3.22","10.17","5.44","7.06","110.83","3.88","10.28"
"JIRA-RA-2019","[4.27,7.06]","[0.8,2.03]","[1.88,3.9]","[6.9,13.29]","[4.97,8.29]","[6.33,10.34]","[33.2,109]","[2.31,4.71]","[8.9,15.37]"
"MA-SZZ-2020","3.38","0.23","1","6.41","3.26","1.92","3.18","1.79","5.9"
"MA-SZZ-2020","4.57","0.36","1.19","8.01","3.83","2.84","14.84","2.48","9.3"
"MA-SZZ-2020","[2.83,4.07]","[0.19,0.29]","[0.87,1.19]","[5.43,7.62]","[2.78,3.81]","[1.59,2.39]","[1.51,6.03]","[1.49,2.18]","[4.85,7.47]"
"IND-JLMIV+R-2020","5.71","0.7","1.52","9.31","5.26","7.33","17.14","2.22","9.03"
"IND-JLMIV+R-2020","5.6","0.91","2.26","8.93","5.24","10.12","43.29","2.37","10.62"
"IND-JLMIV+R-2020","[4.74,6.85]","[0.56,0.92]","[1.2,2.22]","[7.75,11.35]","[4.4,6.41]","[5.77,9.63]","[10.58,28.19]","[1.84,2.78]","[7.36,11.66]"
