"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","11.59","6.29","2.04","6.12","4.22","5.17","34.9","11.39","7.71"
"ECLIPSE-2007","3.52","1.83","0.23","0.19","0.21","0.88","45.53","0.68","4.39"
"ECLIPSE-2007","[8.29,13.92]","[4.17,7.36]","[1.79,2.19]","[5.91,6.24]","[3.99,4.35]","[4.15,5.69]","[5.19,87.32]","[10.78,11.84]","[4.53,10.44]"
"Metrics-Repo-2010","142.39","21.06","58.63","68.94","38.09","29.39","19.89","77.04","38.76"
"Metrics-Repo-2010","457.79","22.43","142.65","147.97","88.7","29.99","27.7","135.9","59.5"
"Metrics-Repo-2010","[67.5,354.72]","[16.37,28.29]","[32.75,119.65]","[42.92,132.78]","[24.22,82.01]","[22.21,38.22]","[14.14,28.8]","[51.46,126.18]","[27.02,62.92]"
"JIRA-HA-2019","11.74","11.93","4.51","16.52","9.74","15.37","170.98","133.36","126.88"
"JIRA-HA-2019","7.94","9.28","3.32","13.69","7.35","11.6","702.09","273.54","344.54"
"JIRA-HA-2019","[9.49,14.52]","[9.66,15.5]","[3.61,5.62]","[13.13,21.25]","[7.63,12.48]","[11.92,19.08]","[10.45,499.47]","[75.02,289.96]","[66.15,393.01]"
"JIRA-RA-2019","10.02","8.82","4.55","14.92","8.51","11.04","6.81","46.85","38.34"
"JIRA-RA-2019","10","7.62","4.81","13.41","6.89","9.97","13.96","38.49","33.28"
"JIRA-RA-2019","[7.21,13.42]","[6.67,11.29]","[3.34,6.41]","[10.81,19.43]","[6.48,10.81]","[8.28,14.51]","[4.33,21.76]","[35.99,60.98]","[29.49,50.61]"
"MA-SZZ-2020","7.16","3.39","2.52","6.47","4.14","5.22","31.4","19.89","39.12"
"MA-SZZ-2020","7.14","4.32","3.12","6.42","4.21","5.75","110.59","26.94","74.35"
"MA-SZZ-2020","[6.16,8.34]","[2.75,4.09]","[2.04,3.02]","[5.47,7.59]","[3.56,4.91]","[4.39,6.25]","[16.54,53.46]","[16.13,24.4]","[30.94,56.29]"
"IND-JLMIV+R-2020","9.05","6.28","2.81","12.54","6.37","8.15","7.74","35.69","58.34"
"IND-JLMIV+R-2020","10.68","6.22","2.58","9.51","6.44","6.36","15","60.76","130.62"
"IND-JLMIV+R-2020","[7.23,11.5]","[5.19,7.64]","[2.41,3.44]","[10.88,14.42]","[5.41,7.69]","[7.11,9.52]","[5.56,11.65]","[28.12,60.79]","[40.83,100.06]"
