"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.74","2.18","2.04","6.12","4.22","1.43","0","4.39","4.82"
"ECLIPSE-2007","0.66","0.72","0.23","0.19","0.21","0.71","0","0.63","0.3"
"ECLIPSE-2007","[2.02,3.17]","[1.35,2.6]","[1.79,2.19]","[5.91,6.24]","[3.99,4.35]","[0.62,1.85]","[0,0]","[3.67,4.76]","[4.48,5]"
"Metrics-Repo-2010","13.03","6.85","58.63","68.94","38.09","6.65","0.88","16.68","16.11"
"Metrics-Repo-2010","14.52","7.48","142.65","147.97","88.7","10.73","6.62","23.01","15.22"
"Metrics-Repo-2010","[9.96,18.09]","[5.32,9.28]","[31.78,124.22]","[40.37,122.51]","[23.18,81.57]","[4.72,10.79]","[0,2.63]","[12.42,24.78]","[12.76,20.8]"
"JIRA-HA-2019","4.2","4.87","4.51","16.52","9.74","9.6","5.15","9.7","18.34"
"JIRA-HA-2019","4.98","3.97","3.32","13.69","7.35","9.77","18.11","8.02","22.62"
"JIRA-HA-2019","[3.15,6.85]","[3.8,6.25]","[3.64,5.73]","[12.73,21.61]","[7.7,12.17]","[7.31,13.4]","[0,13.12]","[7.55,12.52]","[13.68,28.95]"
"JIRA-RA-2019","3.21","3.67","4.55","14.92","8.51","6.36","0.62","7.86","13.53"
"JIRA-RA-2019","3.41","3.21","4.81","13.41","6.89","6.4","3.95","7.41","11.36"
"JIRA-RA-2019","[2.4,4.59]","[2.74,4.71]","[3.39,6.62]","[11.06,19.51]","[6.59,10.67]","[4.6,8.59]","[0,1.87]","[5.77,10.58]","[10.15,17.24]"
"MA-SZZ-2020","2.36","1.33","2.52","6.47","4.14","2.64","7.86","2.71","4.31"
"MA-SZZ-2020","2","1.7","3.12","6.42","4.21","3.21","24.22","3.27","5.39"
"MA-SZZ-2020","[2.06,2.69]","[1.06,1.61]","[2.08,3.03]","[5.55,7.61]","[3.52,4.85]","[2.17,3.11]","[4.4,12.26]","[2.2,3.26]","[3.51,5.21]"
"IND-JLMIV+R-2020","4.48","2.64","2.81","12.54","6.37","4.98","0.25","5.64","10.87"
"IND-JLMIV+R-2020","9.69","2.47","2.58","9.51","6.44","5.7","1.36","4.48","7.8"
"IND-JLMIV+R-2020","[3.15,7.53]","[2.22,3.17]","[2.41,3.36]","[10.81,14.6]","[5.24,7.87]","[4.1,6.33]","[0.09,0.73]","[4.86,6.59]","[9.49,12.62]"
