"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","29.77","4.11","5.96","9.74","2.1","3.89","15.69","7.28"
"Metrics-Repo-2010","59.21","6.25","10.83","13.73","2.18","17.35","25.78","13.94"
"Metrics-Repo-2010","17.49","2.71","3.7","6.56","1.55","0","10.09","4.05"
"Metrics-Repo-2010","68.44","6.94","11.27","15.55","2.96","11.68","27.01","14.03"
"JIRA-HA-2019","24.61","1.59","5.74","15.69","3.91","20.5","41.2","45.01"
"JIRA-HA-2019","75.91","1.46","4.5","9.84","4.3","44.3","82.51","149.86"
"JIRA-HA-2019","10.55","1.15","4.31","12.53","2.72","8.97","21.32","14.69"
"JIRA-HA-2019","91.67","2.17","7.37","19.57","5.98","40.76","88.74","149.33"
"JIRA-RA-2019","11.61","1.13","4.63","21.17","3.33","56.11","14.58","14.14"
"JIRA-RA-2019","14.37","1.61","4.52","24.94","5.28","176.52","25.96","20.31"
"JIRA-RA-2019","7.76","0.79","3.35","14.01","2.14","15.11","8.39","8.65"
"JIRA-RA-2019","17.81","2.24","6.82","31.98","6.22","167.99","29.19","24.07"
"MA-SZZ-2020","28.23","8.03","63.62","63.4","8.9","109.68","37.92","76.8"
"MA-SZZ-2020","58.32","17.91","232.81","196.08","10.17","219.01","104.5","131.55"
"MA-SZZ-2020","16.26","4.11","18.77","24.92","6.4","64.05","17.39","47.52"
"MA-SZZ-2020","54.97","15.65","177.41","158.94","12.24","196.88","86.46","121.78"
