"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","8.84","6.1","2.71","6.02","3.9","4.68","2.13","10.6","6.21"
"ECLIPSE-2007","2.46","2.19","0.53","0.31","0.38","0.49","1.35","2.69","0.59"
"ECLIPSE-2007","[6.06,10.4]","[3.6,7.45]","[2.35,3.03]","[5.71,6.23]","[3.51,4.15]","[4.12,4.99]","[1.36,2.91]","[7.5,12.17]","[5.55,6.59]"
"Metrics-Repo-2010","86.32","22.51","508.5","571.3","373.31","52.23","37.1","164.67","58.55"
"Metrics-Repo-2010","146.45","23.66","2639.06","2982.49","2182.13","83.01","96.1","653.91","167.59"
"Metrics-Repo-2010","[57.38,139.87]","[17.64,30.4]","[127.12,1856.95]","[130.99,2413.2]","[65.65,1539.78]","[36.99,85.12]","[20.62,85.66]","[60.56,594.71]","[26.07,135.8]"
"JIRA-HA-2019","12.34","14.54","7.12","16.76","10.69","14.17","4.49","92.93","54.11"
"JIRA-HA-2019","12.46","12.61","9.73","14.01","8.48","10.82","10.52","131.48","69.67"
"JIRA-HA-2019","[9.53,17.9]","[11.14,19.13]","[5.17,12.54]","[13.14,21.49]","[8.45,14.17]","[11.23,18.08]","[2.5,11.18]","[61.76,152.14]","[35.51,81.21]"
"JIRA-RA-2019","9.85","10.98","4.3","13.29","7.53","11.35","13.75","46.54","29.84"
"JIRA-RA-2019","11.26","11.2","4.96","12.44","7.27","10.18","65.58","69.22","27.62"
"JIRA-RA-2019","[6.66,13.99]","[8.06,14.84]","[3.13,6.64]","[9.92,17.64]","[5.51,10]","[8.28,14.59]","[3.06,55.84]","[29.87,77.82]","[22.16,38.83]"
"MA-SZZ-2020","7.17","4.05","2.96","5.76","4.44","12.41","3.31","15.37","23.82"
"MA-SZZ-2020","8.71","5.83","3.8","6.7","4.86","65.86","8.94","41.88","54.74"
"MA-SZZ-2020","[6.05,8.85]","[3.26,5.18]","[2.46,3.6]","[4.79,6.85]","[3.76,5.3]","[5.06,30.82]","[2.44,5.91]","[11.02,26.31]","[16.73,34.78]"
"IND-JLMIV+R-2020","20.28","9.79","4.25","12.05","12.74","17.69","50.78","101.71","97.38"
"IND-JLMIV+R-2020","32.71","28.38","3.66","8.28","16.24","22.28","168.9","617.39","148"
"IND-JLMIV+R-2020","[16.93,24.5]","[7.36,14.25]","[3.85,4.68]","[11.14,13.06]","[11.11,14.68]","[15.12,20.25]","[36.17,74.56]","[62.52,277.53]","[82.56,119.05]"
