"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.16","1.52","2.71","6.02","3.9","0.54","0","2.72","4.64"
"ECLIPSE-2007","0.99","0.48","0.53","0.31","0.38","0.19","0","0.18","0.77"
"ECLIPSE-2007","[0.02,1.78]","[0.98,1.83]","[2.35,3.09]","[5.71,6.23]","[3.51,4.15]","[0.32,0.65]","[0,0]","[2.61,2.83]","[3.95,5.15]"
"Metrics-Repo-2010","11.43","6.55","508.5","571.3","373.31","6.93","4.82","10.99","17.49"
"Metrics-Repo-2010","13","6.75","2639.06","2982.49","2182.13","9.43","21.07","14.26","19.8"
"Metrics-Repo-2010","[8.63,15.98]","[5.04,8.4]","[116.18,1847.42]","[144.83,2169.75]","[71.07,1524.52]","[5.01,10.17]","[1.17,12.9]","[8.05,16.13]","[13.55,23.58]"
"JIRA-HA-2019","6.23","5.23","7.12","16.76","10.69","8.32","1.28","8.04","15.55"
"JIRA-HA-2019","11.97","4.15","9.73","14.01","8.48","6.67","8.01","6.88","15.33"
"JIRA-HA-2019","[3.84,12.55]","[3.98,6.59]","[5.11,13.61]","[12.47,21.28]","[8.67,13.67]","[6.51,10.72]","[0,3.85]","[6.12,10.48]","[11.05,20.89]"
"JIRA-RA-2019","5.01","4.18","4.3","13.29","7.53","6.61","0","6.23","12.19"
"JIRA-RA-2019","5.31","4.12","4.96","12.44","7.27","6.09","0","5.98","9.93"
"JIRA-RA-2019","[3.6,7]","[2.96,5.52]","[3.2,6.57]","[10.07,17.99]","[5.68,10.11]","[4.76,8.6]","[0,0]","[4.52,8.13]","[9.54,15.71]"
"MA-SZZ-2020","2.29","1.35","2.96","5.76","4.44","2.64","0.31","2.25","5.82"
"MA-SZZ-2020","2.23","1.68","3.8","6.7","4.86","2.73","3.97","2.68","7.22"
"MA-SZZ-2020","[1.96,2.67]","[1.11,1.63]","[2.42,3.57]","[4.81,6.84]","[3.75,5.27]","[2.27,3.08]","[0,0.94]","[1.86,2.72]","[4.81,7.11]"
"IND-JLMIV+R-2020","6.03","2.69","4.04","11.51","5.49","8.29","20.07","6.06","13.93"
"IND-JLMIV+R-2020","11.2","2.81","3.46","8.62","6.44","15.89","97.17","4.54","13.14"
"IND-JLMIV+R-2020","[4.41,9.06]","[2.2,3.23]","[3.43,4.74]","[9.86,13.15]","[4.47,7.02]","[5.91,12.11]","[8.13,52.52]","[5.19,6.96]","[11.82,16.99]"
