"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","3.64","17.03","2.09","6.41","4.39","0.7","0","2.81","4.64"
"ECLIPSE-2007","1.14","27.11","0.33","0.16","0.29","0.03","0","0.28","0.57"
"ECLIPSE-2007","[2.33,4.32]","[1.08,48.33]","[1.88,2.29]","[6.28,6.59]","[4.19,4.69]","[0.66,0.71]","[0,0]","[2.49,2.99]","[3.98,4.99]"
"Metrics-Repo-2010","15.44","9.73","48.12","55.84","36.43","10.75","12.6","12.81","15.85"
"Metrics-Repo-2010","14.91","9.7","78.52","78.96","46.8","13.28","63.07","13.36","14.88"
"Metrics-Repo-2010","[12.06,19.86]","[7.55,12.51]","[30.36,71.31]","[38.9,79.83]","[27.67,53.76]","[7.83,14.69]","[3.31,44.44]","[9.76,16.87]","[12.33,20.16]"
"JIRA-HA-2019","7.2","5.37","4.67","16.25","10.62","8.81","1.5","8.09","13.92"
"JIRA-HA-2019","8.72","4.59","4.37","14.7","8.95","10.1","5.36","6.91","14.31"
"JIRA-HA-2019","[5.15,11.17]","[4.05,6.94]","[3.59,6.63]","[12.51,21.94]","[8.16,13.71]","[6.4,13.14]","[0.43,4.27]","[6.18,10.43]","[10.32,19.24]"
"JIRA-RA-2019","5.63","4.18","3.66","14.26","8.62","6.08","2.48","6.22","12.59"
"JIRA-RA-2019","6.69","3.92","3.15","12.79","7.38","5.41","8.48","5.54","9.99"
"JIRA-RA-2019","[3.92,8.14]","[3.14,5.53]","[2.79,4.75]","[10.36,18.55]","[6.66,11.33]","[4.61,8.17]","[0.65,6.16]","[4.7,8.19]","[9.42,15.81]"
"MA-SZZ-2020","3.11","1.46","3.81","8.48","5.97","3.52","10.95","1.81","3.95"
"MA-SZZ-2020","5.57","4.22","17.49","21.86","23.45","5.94","78.8","2.24","4.94"
"MA-SZZ-2020","[2.47,4.3]","[1.04,2.65]","[2.2,9.1]","[6.28,15.59]","[3.6,13.25]","[2.77,4.63]","[2.21,32.56]","[1.46,2.17]","[3.21,4.77]"
"IND-JLMIV+R-2020","16","2.22","2.62","14.59","9.98","11.08","20.63","4.54","13.01"
"IND-JLMIV+R-2020","19.31","3.9","2.21","8.57","9.31","13.51","65.68","4.37","9.84"
"IND-JLMIV+R-2020","[14.06,18.47]","[1.91,3.05]","[2.4,2.92]","[13.66,15.66]","[9,11.08]","[9.66,12.71]","[13.9,29.47]","[4.06,5.06]","[11.88,14.16]"
