"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","21.37","67.93","2.09","6.41","4.39","5","6.33","13.18","8.43"
"ECLIPSE-2007","11.8","108.99","0.33","0.16","0.29","0.4","5.8","1.22","2.78"
"ECLIPSE-2007","[10.37,29.19]","[3.73,131.28]","[1.88,2.47]","[6.28,6.52]","[4.19,4.57]","[4.54,5.24]","[1.19,10.14]","[12.22,14.54]","[6.09,10.23]"
"Metrics-Repo-2010","1105.03","30.74","48.12","55.84","36.43","42.37","44.92","119.24","112.94"
"Metrics-Repo-2010","7759.29","29.4","78.52","78.96","46.8","45.16","149.11","239.57","239.92"
"Metrics-Repo-2010","[68.82,5226.6]","[23.8,38.8]","[32.81,72.64]","[39.85,79.33]","[26.72,54.06]","[32.03,55.99]","[22.07,119.45]","[77.55,213.81]","[66.04,216.28]"
"JIRA-HA-2019","16.52","14.33","4.67","16.25","10.62","14.63","9.03","49.48","67.91"
"JIRA-HA-2019","14.31","12.74","4.37","14.7","8.95","13.09","16.86","45.05","244.95"
"JIRA-HA-2019","[12.46,21.35]","[11.19,19.01]","[3.64,6.51]","[12.19,21.54]","[8.36,14.52]","[11.29,19.19]","[5.09,16.28]","[38.48,67.19]","[26.13,263.25]"
"JIRA-RA-2019","17.24","11.68","3.66","14.26","8.62","11.29","20.78","49.15","54.9"
"JIRA-RA-2019","24.45","12.35","3.15","12.79","7.38","9.66","66.23","74.01","70.91"
"JIRA-RA-2019","[11.51,27.76]","[8.46,16.17]","[2.81,4.73]","[10.88,18.31]","[6.32,10.87]","[8.56,14.2]","[8.54,69.37]","[34.66,92.41]","[39.39,85.68]"
"MA-SZZ-2020","4.83","5.12","3.81","8.48","5.97","135","9.53","9.17","15.41"
"MA-SZZ-2020","5.77","25.24","17.49","21.86","23.45","1348.57","34.33","15.45","46.02"
"MA-SZZ-2020","[4.08,5.9]","[2.36,11.19]","[2.19,10.64]","[6.31,14.66]","[3.72,14.21]","[5.33,576.66]","[5.56,17.63]","[7.2,11.86]","[10.68,26.08]"
"IND-JLMIV+R-2020","14.29","5.37","2.62","14.59","9.98","11.61","58.31","12.85","23.83"
"IND-JLMIV+R-2020","18.06","12.44","2.21","8.57","9.31","14.2","285.56","14.21","32.88"
"IND-JLMIV+R-2020","[12.31,16.68]","[4.43,7.7]","[2.41,2.95]","[13.69,15.62]","[9.02,11.15]","[10.13,13.3]","[36.05,116.25]","[11.46,14.79]","[21.04,29.78]"
