"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","0.85","0.8","2.18","5.5","0.45","1.05","0","0.74","1.82"
"ECLIPSE-2007","0.46","0.85","2.15","5.06","0.37","0.45","0","0.71","1.57"
"ECLIPSE-2007","[0.44,1.15]","[0.27,1.3]","[0.43,3.56]","[1.22,8.78]","[0.03,0.69]","[0.53,1.32]","[0,0]","[0.22,1.19]","[0,2.75]"
"Metrics-Repo-2010","12.23","3.05","17.23","25.21","18.06","5.07","16.87","18.84","31.65"
"Metrics-Repo-2010","34.47","3.74","38.75","42.94","31.92","6.53","57.75","29.22","67.26"
"Metrics-Repo-2010","[5.99,27.88]","[2.29,4.37]","[9.99,33.77]","[16.93,41.47]","[12.19,30.47]","[3.83,7.43]","[6.43,39.72]","[13.02,29.26]","[19.92,65.58]"
"JIRA-HA-2019","7.32","0.69","2.26","10.5","6.34","2.85","10.79","2.02","8.59"
"JIRA-HA-2019","17.07","0.79","3.29","13.05","9.21","3.15","36.45","1.83","16.63"
"JIRA-HA-2019","[3.67,18.26]","[0.49,1.01]","[1.55,3.67]","[7.6,17.22]","[4.25,10.61]","[1.98,3.99]","[3.42,29.65]","[1.51,2.59]","[5.38,20.14]"
"JIRA-RA-2019","6.51","2.15","3.46","9.68","7.08","3.79","26.55","1.8","13.38"
"JIRA-RA-2019","12.46","8.15","11.67","14.82","12.98","6.52","47.91","2.5","23.89"
"JIRA-RA-2019","[4.11,13.82]","[0.7,7.59]","[1.46,12.42]","[6.67,18.41]","[4.26,13.8]","[2.41,6.61]","[14.4,46.79]","[1.18,2.78]","[8.1,23.61]"
"MA-SZZ-2020","2.52","0.41","1.59","5.2","3.02","1.81","1.71","2.34","6.63"
"MA-SZZ-2020","5.47","0.58","1.77","6.77","3.86","3.14","11.6","4.85","9.97"
"MA-SZZ-2020","[2.01,3.71]","[0.34,0.5]","[1.39,1.87]","[4.39,6.29]","[2.55,3.69]","[1.5,2.44]","[0.5,4.15]","[1.84,3.22]","[5.46,8.23]"
"IND-JLMIV+R-2020","7.62","1.08","2.97","12.51","7.6","8.56","15.7","2.18","12.77"
"IND-JLMIV+R-2020","8.57","3.47","3.38","11.61","9.72","10.53","35.94","2.06","17.22"
"IND-JLMIV+R-2020","[6.8,8.75]","[0.85,1.74]","[2.62,3.42]","[11.34,13.99]","[6.71,9.09]","[7.4,9.97]","[12.19,20.69]","[1.97,2.45]","[11.01,14.92]"
