Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.0,1.0,0.0,0.0
JIRA-HA-2019,Ranked1,0.15625,0.0,0.71875,0.125,0.0
JIRA-RA-2019,Ranked1,0.0,0.09375,0.90625,0.0,0.0
MA-SZZ-2020,Ranked1,0.0,0.0,1.0,0.0,0.0
Metrics-Repo-2010,Ranked2,0.1,0.9,0.0,0.0,0.0
JIRA-HA-2019,Ranked2,0.21875,0.1875,0.28125,0.3125,0.0
JIRA-RA-2019,Ranked2,0.34375,0.5625,0.0,0.09375,0.0
MA-SZZ-2020,Ranked2,0.0,1.0,0.0,0.0,0.0
Metrics-Repo-2010,Ranked3,0.9,0.1,0.0,0.0,0.0
JIRA-HA-2019,Ranked3,0.125,0.5,0.0,0.375,0.0
JIRA-RA-2019,Ranked3,0.5625,0.25,0.09375,0.09375,0.0
MA-SZZ-2020,Ranked3,1.0,0.0,0.0,0.0,0.0
