"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","8.56","4.7","55.76","73.71","5.87","31.96","10.73","22.45"
"Metrics-Repo-2010","8.07","3.9","190.84","242.5","6","56.16","11.82","22.16"
"Metrics-Repo-2010","6.61","3.57","17.82","26.46","4.35","19.88","8.06","16.3"
"Metrics-Repo-2010","12.17","6.05","174.12","223.66","8.33","57.9","15.52","30.35"
"JIRA-HA-2019","5.47","1.15","2.24","9.07","4.81","22.4","2.66","10.04"
"JIRA-HA-2019","5.27","0.8","1.86","6.56","4.15","43.5","2.6","10.13"
"JIRA-HA-2019","3.9","0.91","1.72","7.03","3.74","11.98","1.93","7.4"
"JIRA-HA-2019","7.6","1.42","3.05","11.58","6.81","46.11","3.66","15.01"
"JIRA-RA-2019","4.02","0.92","1.74","6.14","4.36","8.85","2.28","8.83"
"JIRA-RA-2019","2.81","0.89","1.6","4.75","4.76","22.79","2.14","6.25"
"JIRA-RA-2019","3.14","0.68","1.23","4.68","3.02","3.12","1.7","7.06"
"JIRA-RA-2019","5.07","1.36","2.37","8.1","6.73","20.74","3.12","11.07"
"MA-SZZ-2020","25.02","2.1","35.91","36.87","9.62","43.06","5.57","34.77"
"MA-SZZ-2020","25.87","1.57","58.74","36.89","7.99","43.09","2.42","48.54"
"MA-SZZ-2020","18.39","1.72","22.64","27.42","7.45","33.48","4.91","24.73"
"MA-SZZ-2020","32.8","2.59","56.07","49.08","12.24","58.14","6.29","55.69"
