"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","4.02","0.49","1.58","4.49","2.02","75.71","1.84","9.36"
"ECLIPSE-2007","2.55","0.3","1.33","3.69","1.74","10.68","0.89","5.03"
"ECLIPSE-2007","1.08","0.15","0.22","0.6","0.06","66.67","0.83","3.55"
"ECLIPSE-2007","5.43","0.66","2.47","6.93","3.12","82.66","2.39","12.25"
"Metrics-Repo-2010","8.75","5.84","35.82","42.31","9.41","36.26","10.62","34.31"
"Metrics-Repo-2010","6.59","6.99","126.31","125.02","8.97","56.66","13.33","64.18"
"Metrics-Repo-2010","7.22","4.33","17.77","24.23","7.44","25","7.86","21.21"
"Metrics-Repo-2010","10.48","8","120.42","126.76","11.95","55.38","14.96","55.45"
"JIRA-HA-2019","6.03","1.53","2.89","12.12","13.25","72.63","3.25","15.28"
"JIRA-HA-2019","4.92","1.56","2.54","7.62","21.83","203.54","3.5","18.49"
"JIRA-HA-2019","4.78","1.16","2.28","10.03","8.32","29.73","2.35","10.56"
"JIRA-HA-2019","7.94","2.16","3.96","14.68","21.86","184.66","4.69","21.97"
"JIRA-RA-2019","6.61","1.51","3.49","12.62","9.95","86.85","3.5","14.64"
"JIRA-RA-2019","5.45","2.07","3.54","10.51","7.29","197.35","5.07","22.77"
"JIRA-RA-2019","5.05","1.1","2.59","9.85","7.94","48.42","2.28","9.79"
"JIRA-RA-2019","8.42","2.52","4.87","16.46","12.35","183.91","5.33","25.01"
"MA-SZZ-2020","5.6","0.79","1.44","9.83","4.76","6.78","2.34","10.52"
"MA-SZZ-2020","7.4","1.2","1.74","13.02","7.18","22.51","2.41","13.43"
"MA-SZZ-2020","4.7","0.66","1.23","8.21","3.87","4.13","2.05","8.93"
"MA-SZZ-2020","6.84","0.98","1.75","11.95","5.89","10.69","2.71","12.47"
