"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","69.84","49.43","55.76","73.71","11.78","92.6","78.71","125.85"
"Metrics-Repo-2010","127.74","104.21","190.84","242.5","22.38","195.05","198.69","368.54"
"Metrics-Repo-2010","43.28","26.55","17.82","26.46","7.69","51.15","38.07","57.59"
"Metrics-Repo-2010","127.49","95.49","174.12","223.66","25.28","182.34","203.38","332.35"
"JIRA-HA-2019","38.79","3.12","2.24","9.07","4.94","86.05","70.7","31.41"
"JIRA-HA-2019","171.04","2.22","1.86","6.56","4.18","299.26","254.53","34.91"
"JIRA-HA-2019","7.74","2.47","1.72","7.03","3.87","28.32","21.65","22.32"
"JIRA-HA-2019","189.01","3.87","3.05","11.58","6.97","315.05","215.69","45.97"
"JIRA-RA-2019","7.19","2.34","1.74","6.14","4.47","24.24","180.27","103.45"
"JIRA-RA-2019","4.9","2.33","1.6","4.75","4.84","89.83","879.87","266.64"
"JIRA-RA-2019","5.66","1.7","1.23","4.68","3.12","6.85","21.09","50.58"
"JIRA-RA-2019","9.13","3.44","2.37","8.1","6.9","89.99","953.46","302.02"
"MA-SZZ-2020","74.63","10.41","35.91","36.87","10.21","1093.5","81.95","113.94"
"MA-SZZ-2020","102.15","14.79","58.74","36.89","8.04","5970.61","134.64","208.47"
"MA-SZZ-2020","52.87","7.21","22.64","27.42","8.07","116.58","55.55","73.27"
"MA-SZZ-2020","119.06","15.93","56.07","49.08","12.96","5495.53","138.23","193.02"
