"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","11.64","1.43","1.58","4.49","2.16","91.24","12.11","22.46"
"ECLIPSE-2007","8.32","0.88","1.33","3.69","1.86","44.65","7.07","17.47"
"ECLIPSE-2007","2.27","0.42","0.22","0.6","0.07","42.92","3.99","7.04"
"ECLIPSE-2007","16.94","1.89","2.47","6.93","3.34","120.59","15.93","33.92"
"Metrics-Repo-2010","56.11","18.17","35.82","42.31","13.9","160.36","142.12","119.11"
"Metrics-Repo-2010","107.25","24.84","126.31","125.02","11.85","439.19","487.31","275.45"
"Metrics-Repo-2010","36.58","13","17.77","24.23","11.19","86","69.34","75.14"
"Metrics-Repo-2010","103.63","26.73","120.42","126.76","17.34","360.4","360.64","339.77"
"JIRA-HA-2019","9.29","3.74","2.89","12.12","13.41","417.66","107.7","45.74"
"JIRA-HA-2019","7.08","3.99","2.54","7.62","21.92","1816.72","533.11","77.94"
"JIRA-HA-2019","7.37","2.78","2.28","10.03","8.46","43.69","20.27","28.98"
"JIRA-HA-2019","11.72","5.32","3.96","14.68","22.05","1556.32","449.56","85.18"
"JIRA-RA-2019","10.83","3.87","3.49","12.62","10.19","168.59","185.88","168.45"
"JIRA-RA-2019","9.29","5.76","3.54","10.51","7.5","402.89","865.02","479.06"
"JIRA-RA-2019","8.22","2.8","2.59","9.85","8.13","91.82","35.01","77.99"
"JIRA-RA-2019","14.07","6.99","4.87","16.46","12.65","373.75","736.35","416.36"
"MA-SZZ-2020","7.46","1.68","1.44","9.83","4.89","143.72","6.25","26.05"
"MA-SZZ-2020","9.07","2.58","1.74","13.02","7.25","1784.68","7.38","52.99"
"MA-SZZ-2020","6.38","1.4","1.23","8.21","3.98","15.6","5.36","21"
"MA-SZZ-2020","8.94","2.08","1.75","11.95","6.03","760.28","7.38","36.31"
