"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","4.06","3.14","2.63","8.13","5.59","2.78","0","5.03","4.79"
"ECLIPSE-2007","0.21","0.65","0.52","1.09","1.16","0.2","0","0.2","0.23"
"ECLIPSE-2007","[3.86,4.2]","[2.39,3.52]","[2.17,2.97]","[7.2,8.84]","[4.8,6.93]","[2.59,2.91]","[0,0]","[4.8,5.15]","[4.58,4.95]"
"Metrics-Repo-2010","19.14","10.16","35.24","44.7","29.62","13.28","14.55","15.46","17.71"
"Metrics-Repo-2010","19.01","10.13","57.24","58.55","25.87","17.33","36.08","15.83","21.67"
"Metrics-Repo-2010","[14.73,24.72]","[7.94,13.03]","[23.75,54.83]","[32.73,64.32]","[23.26,36.73]","[9.84,19.41]","[7.41,27.73]","[12.12,20.77]","[13.24,25.28]"
"JIRA-HA-2019","11.82","5.68","2.71","17.6","12.58","10.07","2.56","9.4","13.54"
"JIRA-HA-2019","12.27","4.56","2.84","15.71","12.86","10.28","16.01","7.86","14.77"
"JIRA-HA-2019","[8.43,16.23]","[4.48,7.32]","[1.89,3.66]","[13.63,23.56]","[9.5,17.62]","[7.5,14.12]","[0,7.69]","[7.16,11.78]","[9.79,19.48]"
"JIRA-RA-2019","11.2","4.58","4.27","19.93","13.15","10.64","4.37","8.19","15.61"
"JIRA-RA-2019","9.98","3.86","3.81","15.77","10.29","8.33","15.9","6.91","15"
"JIRA-RA-2019","[8.39,14.38]","[3.52,5.82]","[3.25,5.48]","[14.97,24.72]","[10.27,16.57]","[8.24,13.21]","[1.25,11.87]","[5.94,10.21]","[11.41,21.09]"
"MA-SZZ-2020","2.96","0.89","2.02","8.28","3.74","3.76","4.02","1.73","4.5"
"MA-SZZ-2020","4.64","1.3","2.34","8.69","5.47","7.67","16.92","2.2","6.77"
"MA-SZZ-2020","[2.31,3.7]","[0.71,1.14]","[1.69,2.45]","[6.96,9.76]","[2.89,4.7]","[2.89,5.17]","[1.78,7.14]","[1.42,2.13]","[3.65,5.87]"
"IND-JLMIV+R-2020","5.96","2.58","1.98","23.63","5.56","7.08","5.97","5.39","15.38"
"IND-JLMIV+R-2020","6.73","3.57","1.34","10.95","6.64","7.35","24.47","5.35","11.38"
"IND-JLMIV+R-2020","[5.25,6.79]","[2.2,3.03]","[1.84,2.14]","[22.4,24.86]","[4.92,6.46]","[6.35,8.07]","[3.79,9.66]","[4.83,6.04]","[14.1,16.79]"
