"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","7.83","2.43","1.23","3.47","2.34","80.57","10.11","24.57"
"ECLIPSE-2007","6.09","1.57","0.94","2.65","2.65","55.79","7.17","5.27"
"ECLIPSE-2007","1.44","0.63","0.19","0.53","0.32","27.86","4.19","20.12"
"ECLIPSE-2007","11.87","3.39","1.85","5.19","4.01","117.62","14.74","27.99"
"Metrics-Repo-2010","66.28","23.13","33.72","39.74","12.97","140.87","212.22","109.06"
"Metrics-Repo-2010","130","36.22","135.7","135.43","14.45","472.61","747.44","187.45"
"Metrics-Repo-2010","42.53","16.3","14.66","20.78","9.93","67.78","98.08","73.24"
"Metrics-Repo-2010","119.25","37.21","124.22","130.02","17.54","400.19","556.61","183.93"
"JIRA-HA-2019","9.35","3.7","2.84","11.96","12.57","188.95","72.05","53.8"
"JIRA-HA-2019","8.01","4.25","2.81","10.57","20.02","714.2","189.03","84.29"
"JIRA-HA-2019","7","2.68","2.09","8.82","8.2","42.84","37.22","33.91"
"JIRA-HA-2019","12.07","5.38","3.93","15.94","20.81","647.61","197.38","85.45"
"JIRA-RA-2019","12.18","4.42","3.58","13.35","10.34","139.81","65.21","175.89"
"JIRA-RA-2019","11.07","5.08","3.26","10.89","14.13","389.79","211.28","439.83"
"JIRA-RA-2019","9.64","3.29","2.8","10.75","7.47","70.13","26.92","88.6"
"JIRA-RA-2019","17.05","6.67","4.88","17.15","17.19","354.54","188.92","389.27"
"MA-SZZ-2020","8.54","1.63","1.64","10.47","4.75","145.12","6.69","29.88"
"MA-SZZ-2020","10.84","2.41","2.05","13.13","6.88","1788.64","8.83","62.1"
"MA-SZZ-2020","7.24","1.34","1.38","8.88","3.92","15","5.63","23.57"
"MA-SZZ-2020","10.2","2.01","1.93","12.5","5.85","761.57","8.15","41.43"
