"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","165.88","56.57","70.71","102.01","18.77","58.52","80.16","81.1"
"Metrics-Repo-2010","688.48","171.13","260.28","392.55","58.13","101.97","226.39","143.66"
"Metrics-Repo-2010","48.87","20.96","25.91","35.12","8.27","33.11","38.93","47.43"
"Metrics-Repo-2010","606.47","152.59","231.44","349.9","60.12","97.63","216.81","145"
"JIRA-HA-2019","35.16","2.96","2.28","8.31","5.69","118.83","72.4","28.16"
"JIRA-HA-2019","148.76","2.48","1.84","6.04","4.55","357.23","231.16","54.69"
"JIRA-HA-2019","8.2","2.29","1.73","6.48","4.34","34.92","24.76","16.31"
"JIRA-HA-2019","166.44","4.16","3","10.78","7.32","353.49","205.5","80.47"
"JIRA-RA-2019","6.42","2.73","1.73","5.62","5.22","27.53","378.23","88.77"
"JIRA-RA-2019","4.64","3.51","1.53","3.79","4.23","90.67","1988.5","158.13"
"JIRA-RA-2019","5.09","1.77","1.26","4.28","3.86","9.52","22.1","49.09"
"JIRA-RA-2019","8.52","4.39","2.28","6.92","6.9","98.39","2136.26","171.75"
"MA-SZZ-2020","73.04","6.23","17.13","32.92","10.12","451.02","34.7","114.9"
"MA-SZZ-2020","90.51","6.75","18.48","25.03","7.78","2079.25","36.13","163.79"
"MA-SZZ-2020","53.88","4.57","12.77","26.46","8.23","80.81","25.45","79.58"
"MA-SZZ-2020","114.62","8.32","23.35","40.31","12.81","1968.63","45.71","174.62"
