"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","10.68","4.55","70.71","102.01","7.44","25.33","10.55","26.96"
"Metrics-Repo-2010","10.12","4.38","260.28","392.55","12.53","43.08","12.61","36.3"
"Metrics-Repo-2010","7.82","3.46","25.91","35.12","4.98","14.9","7.39","17.85"
"Metrics-Repo-2010","14.27","6.38","231.44","349.9","15.38","41.56","15.36","39.83"
"JIRA-HA-2019","5.15","1.1","2.28","8.31","5.56","31.25","2.57","7.03"
"JIRA-HA-2019","3.2","0.91","1.84","6.04","4.5","66.9","2.64","5.72"
"JIRA-HA-2019","4.15","0.86","1.73","6.48","4.22","14.06","1.87","5.29"
"JIRA-HA-2019","6.35","1.56","3","10.78","7.14","61.13","3.78","9.25"
"JIRA-RA-2019","3.56","1.05","1.73","5.62","5.05","10.94","2.65","10.63"
"JIRA-RA-2019","2.3","1.31","1.53","3.79","4.17","24.9","2.97","13.61"
"JIRA-RA-2019","2.8","0.69","1.26","4.28","3.72","4.69","1.84","6.62"
"JIRA-RA-2019","4.48","1.65","2.28","6.92","6.68","23.29","3.98","16.45"
"MA-SZZ-2020","23.11","1.61","17.13","32.92","9.54","25.85","3.33","30.28"
"MA-SZZ-2020","21.28","1.51","18.48","25.03","7.66","26.35","2.82","60.06"
"MA-SZZ-2020","17.66","1.19","12.77","26.46","7.68","18.92","2.65","19.41"
"MA-SZZ-2020","29.49","2.02","23.35","40.31","12.15","33.98","4.29","60.81"
