Dataset,c,20%SLOC,10%,20%,30%
Metrics-Repo-2010,0.8,0.5,0.7,0.7,0.775
JIRA-HA-2019,0.875,0.90625,0.8125,0.84375,0.84375
JIRA-RA-2019,0.78125,0.875,0.9375,0.84375,0.75
MA-SZZ-2020,0.7291666666666666,0.4791666666666667,0.6666666666666666,0.6666666666666666,0.625
