"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","6.65","6.74","3.11","6.48","4.64","2.56","94.4","16.09","12.1"
"ECLIPSE-2007","7.19","5.07","4.66","9.37","5.93","3.33","106.19","20.49","12.23"
"ECLIPSE-2007","[0.19,11.38]","[1.3,10.08]","[0.36,5.82]","[0.9,11.95]","[0.2,8.36]","[0.63,6.4]","[0,164.2]","[1.73,39.55]","[4.69,26.21]"
"Metrics-Repo-2010","58.23","21.08","23.07","31.06","26.78","19.61","119.23","231.67","85.32"
"Metrics-Repo-2010","103.31","30.56","33.12","43.24","34.8","26.06","357.16","1144.05","332.17"
"Metrics-Repo-2010","[38.81,99.64]","[14.27,31.55]","[15.97,33.31]","[23.56,48.37]","[19.56,37.22]","[14.25,28.26]","[48.09,242.83]","[68.48,1007.07]","[36.58,255.87]"
"JIRA-HA-2019","20.59","10.88","11.37","22.66","13.71","25.34","78.65","117.3","75.93"
"JIRA-HA-2019","54.63","38.59","35.93","49.92","30.94","85.75","183.28","357.94","153.62"
"JIRA-HA-2019","[10.88,64.91]","[4.24,36.14]","[5.12,33.82]","[13.69,62.26]","[8.18,37.3]","[9.85,93.45]","[41.01,171.16]","[43,343.68]","[42.6,151.26]"
"JIRA-RA-2019","21.99","8.25","7.48","40.67","13.48","12.84","6.81","33.65","116.2"
"JIRA-RA-2019","84.14","18.19","23.59","190.07","40.82","15.31","22.66","50.12","252.75"
"JIRA-RA-2019","[8.32,85.77]","[4.51,17.52]","[3.59,22.7]","[10.71,158.92]","[6.56,37.79]","[8.99,18.41]","[2.62,18.09]","[21.93,51.87]","[56.81,227.89]"
"MA-SZZ-2020","8.94","3.25","3.35","9.07","7.22","9.16","89.12","78.04","162.87"
"MA-SZZ-2020","8","3.91","3.05","8.34","6.05","12.35","360.47","361.51","598.63"
"MA-SZZ-2020","[7.95,10.01]","[2.82,3.95]","[2.94,3.78]","[8.07,10.29]","[6.43,8.13]","[7.89,11.55]","[55.2,163.02]","[47.44,181.63]","[105.1,305.89]"
"IND-JLMIV+R-2020","13.43","6.86","4.39","14.42","11.78","24.95","1029.47","73.77","111.86"
"IND-JLMIV+R-2020","22.62","35.75","9.15","26.22","29.1","88.79","15356.1","156.84","206.54"
"IND-JLMIV+R-2020","[11.66,18.09]","[4.43,15.59]","[3.71,6.52]","[12.49,20.59]","[9.74,18.7]","[17.9,41.97]","[125.13,4621.18]","[59.66,97.87]","[92.83,142.22]"
