"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","6.38","1.69","15.58","20.75","2.9","0.62","9.82","15.07"
"Metrics-Repo-2010","6.39","2.02","35.09","39.09","4.13","3.95","13.88","21.86"
"Metrics-Repo-2010","4.63","1.18","8.04","12.6","1.92","0","6.75","9.55"
"Metrics-Repo-2010","8.61","2.44","32.62","40.38","4.56","1.87","16.65","24.35"
"JIRA-HA-2019","3.93","0.8","3.83","9.5","2.52","6.25","2.37","31.99"
"JIRA-HA-2019","3.41","0.81","2.95","6.31","2.11","21.06","2.2","88.41"
"JIRA-HA-2019","3.01","0.57","2.94","7.43","1.91","1.56","1.73","9.68"
"JIRA-HA-2019","5.39","1.14","4.88","11.66","3.4","18.75","3.31","84.95"
"JIRA-RA-2019","2.08","0.56","1.91","4.87","2.42","1.56","2.18","6.33"
"JIRA-RA-2019","1.88","0.45","1.73","3.87","1.66","8.84","2.87","7.54"
"JIRA-RA-2019","1.55","0.42","1.4","3.75","1.91","0","1.41","4.36"
"JIRA-RA-2019","2.8","0.74","2.57","6.45","3","4.69","3.44","9.95"
"MA-SZZ-2020","5.19","2.03","5","9.4","6.56","21.15","2.29","9.5"
"MA-SZZ-2020","4.39","1.48","6.26","7.32","5.92","30.52","2.01","13.21"
"MA-SZZ-2020","3.99","1.63","3.54","7.35","5.23","13.65","1.74","6.57"
"MA-SZZ-2020","6.58","2.47","7.33","11.53","8.47","30.94","2.92","14.45"
