"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","321.45","40.02","46.28","49.3","18.01","158.79","49.12","81.52"
"Metrics-Repo-2010","985.2","111.78","72.19","58","26.88","431.31","57.13","167.75"
"Metrics-Repo-2010","145.43","20.2","28.75","34.17","12.33","60.82","35.56","42.65"
"Metrics-Repo-2010","1031.88","110.51","81.3","71.24","30.31","387.27","70.98","166.69"
"JIRA-HA-2019","57.43","5.11","1.78","9.14","3.3","26.91","24.48","8.31"
"JIRA-HA-2019","133","10.52","2.19","9.98","6.63","129.64","48.72","12.27"
"JIRA-HA-2019","29.27","2.71","1.18","6.33","1.69","0","13.06","4.98"
"JIRA-HA-2019","147.09","10.24","2.72","13.56","6.95","100.66","50.24","13.73"
"JIRA-RA-2019","25.28","1.82","1.57","6.71","1.6","8.14","11.57","8.85"
"JIRA-RA-2019","50.62","6.2","1.93","7.5","3.06","40.43","32.56","19.71"
"JIRA-RA-2019","12.72","0.57","1.03","4.53","0.87","0","3.86","4.43"
"JIRA-RA-2019","51.28","6.99","2.34","9.89","3.64","30.49","30.95","22.95"
"MA-SZZ-2020","46.77","17.6","28.78","114.26","9.64","203.64","58.5","123.18"
"MA-SZZ-2020","86.12","19.05","70.8","259.77","10.41","493.3","57.83","299.47"
"MA-SZZ-2020","28.91","13.58","13.8","63.63","7.43","97.03","44.73","61.57"
"MA-SZZ-2020","85.31","24.64","66.68","229.11","13.41","426.3","78.57","253.51"
