"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","41.03","27.1","0.8","3.17","11.91","13.93","0","32.61","3.94"
"ECLIPSE-2007","70.86","43.62","0.97","3.84","19.6","22.07","0","54.99","6.45"
"ECLIPSE-2007","[0.08,81.95]","[0.14,52.86]","[0.18,1.91]","[0.72,7.6]","[0.45,34.55]","[1.02,26.73]","[0,0]","[0.65,96.11]","[0.05,11.39]"
"Metrics-Repo-2010","26.07","26.45","10.49","18.09","15.64","22.69","30.36","29.88","17.11"
"Metrics-Repo-2010","36.05","87.93","14.45","24.38","18.22","69.54","110.1","84.31","32.86"
"Metrics-Repo-2010","[18.84,38.78]","[12.82,74.16]","[7.45,15.01]","[13.41,26.6]","[11.58,21.52]","[12.63,67.24]","[10.99,75.9]","[15.63,71.14]","[10.73,30.28]"
"JIRA-HA-2019","12.87","4.93","3.82","17.39","9.34","8.43","5.35","10.86","4.6"
"JIRA-HA-2019","16.16","8.17","6.8","28.05","9.21","12.01","20.65","15.24","7.12"
"JIRA-HA-2019","[8.59,19.66]","[3.16,9.02]","[2.22,6.81]","[11.34,29.61]","[6.87,12.89]","[5.74,14.12]","[0.98,16.93]","[7.32,17.85]","[2.85,7.39]"
"JIRA-RA-2019","14.87","53.59","3.59","14.82","7.78","44.49","39.66","13.1","14.27"
"JIRA-RA-2019","23.31","319.51","4.53","16.02","8.68","223.9","75.76","37.83","59.38"
"JIRA-RA-2019","[9.93,26.22]","[3.85,300.16]","[2.56,5.18]","[11.14,21.56]","[5.71,11.01]","[8.8,251.7]","[21.61,70.95]","[6.36,37.49]","[3.89,56.97]"
"MA-SZZ-2020","22.51","2.93","2.33","7.56","6.1","5.06","20.15","170.23","14.33"
"MA-SZZ-2020","87.48","10.39","3.16","10.85","9.21","7.59","103.44","2253.39","53.55"
"MA-SZZ-2020","[13.9,40.98]","[2.07,5.42]","[1.96,2.82]","[6.25,9.21]","[4.9,7.54]","[4.1,6.16]","[10.05,43]","[10.63,955.8]","[9.97,30.97]"
"IND-JLMIV+R-2020","18.17","5.01","4.55","18.04","11.07","12.76","58.24","6","3.9"
"IND-JLMIV+R-2020","35.6","12.05","5.94","17.29","12.05","17.21","286.87","8.29","5.24"
"IND-JLMIV+R-2020","[14.99,23.49]","[4.11,7.41]","[3.9,5.29]","[16.08,20.19]","[9.89,12.66]","[11.12,15.01]","[35.39,124.35]","[5.15,7.2]","[3.32,4.57]"
