"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","24.75","5.35","0.8","3.17","11.91","7.2","0","1938.79","9.66"
"ECLIPSE-2007","42.72","8.31","0.97","3.84","19.6","11.41","0","3351.82","15.42"
"ECLIPSE-2007","[0.06,49.42]","[0.03,10.31]","[0.18,1.76]","[0.72,7.6]","[0.45,34.55]","[0.51,13.82]","[0,0]","[3.4,3874.04]","[0.18,18.75]"
"Metrics-Repo-2010","8.3","5.11","10.49","18.09","15.64","5.17","11.93","86.7","45.92"
"Metrics-Repo-2010","11.94","7.73","14.45","24.38","18.22","5.45","44.34","194.24","176.87"
"Metrics-Repo-2010","[6.05,12.63]","[3.45,7.86]","[7.45,15.03]","[13.41,26.58]","[11.58,21.65]","[3.97,6.78]","[4.7,34.35]","[53.83,169.85]","[20.71,123.95]"
"JIRA-HA-2019","8.77","1.8","3.82","17.39","9.34","6.65","10.34","65.79","13.02"
"JIRA-HA-2019","11.74","2.64","6.8","28.05","9.21","9.3","51.77","99.44","14.18"
"JIRA-HA-2019","[5.96,14.15]","[1.21,3.08]","[2.22,6.81]","[11.3,29.66]","[6.87,12.89]","[4.56,11.04]","[1.28,46.15]","[42.33,104.81]","[9.3,18.19]"
"JIRA-RA-2019","10.07","2.02","3.59","14.82","7.78","9.49","34.92","61.32","18.73"
"JIRA-RA-2019","18.07","2.75","4.53","16.02","8.68","15.12","110.37","161.43","29.66"
"JIRA-RA-2019","[6.32,19.04]","[1.4,3.18]","[2.56,5.19]","[11.2,21.57]","[5.72,11.01]","[6.3,18.35]","[14.72,92.26]","[28.88,197.82]","[11.31,30.4]"
"MA-SZZ-2020","5.52","1.11","2.33","7.56","6.1","3.47","8.94","70.97","17.47"
"MA-SZZ-2020","11.38","3.63","3.16","10.85","9.21","5","40.37","472.75","48.64"
"MA-SZZ-2020","[4.23,7.57]","[0.8,1.95]","[1.96,2.82]","[6.26,9.21]","[4.9,7.54]","[2.82,4.19]","[4.8,17.86]","[30.87,198.45]","[12.67,28.48]"
"IND-JLMIV+R-2020","11.45","1.8","4.55","18.04","11.07","10.23","27.88","104.22","12.53"
"IND-JLMIV+R-2020","15.22","3.02","5.94","17.29","12.05","13.02","137.95","739.58","13.46"
"IND-JLMIV+R-2020","[9.95,13.44]","[1.56,2.41]","[3.9,5.29]","[16.08,20.19]","[9.89,12.66]","[8.95,11.82]","[17.94,63.32]","[55.99,275.1]","[11.05,14.33]"
